battery_id,customer_id,transformer_id,feeder_id,substation_id,latitude,longitude,capacity_kwh,power_kw,chemistry,install_date,manufacturer,status
BATT-000001,CUST-0000001,XFMR-000001,FDR-0001,SUB-001,33.529008,-112.143447,9.5,3.2,NMC,2023-07-01,Tesla,active
BATT-000002,CUST-0000012,XFMR-000002,FDR-0001,SUB-001,33.529143,-112.143134,13.8,6.0,LFP,2022-02-01,Generac,active
BATT-000003,CUST-0000027,XFMR-000003,FDR-0001,SUB-001,33.529663,-112.143261,10.6,5.2,NMC,2023-06-01,SolarEdge,active
BATT-000004,CUST-0000036,XFMR-000006,FDR-0001,SUB-001,33.532205,-112.143685,15.9,6.0,LFP,2021-10-01,Enphase,active
BATT-000005,CUST-0000044,XFMR-000007,FDR-0001,SUB-001,33.532224,-112.143588,17.4,6.6,NMC,2022-11-01,Generac,active
BATT-000006,CUST-0000057,XFMR-000009,FDR-0001,SUB-001,33.533881,-112.143702,15.5,7.5,lithium-ion,2024-04-01,Generac,active
BATT-000007,CUST-0000070,XFMR-000010,FDR-0001,SUB-001,33.534534,-112.143703,21.9,10.9,lithium-ion,2022-08-01,BYD,active
BATT-000008,CUST-0000090,XFMR-000012,FDR-0001,SUB-001,33.535885,-112.143205,386.1,104.4,LFP,2020-06-01,Enphase,active
BATT-000009,CUST-0000109,XFMR-000014,FDR-0001,SUB-001,33.5367,-112.143277,16.7,6.4,NMC,2022-05-01,SolarEdge,active
BATT-000010,CUST-0000168,XFMR-000021,FDR-0001,SUB-001,33.540797,-112.143189,15.9,5.8,NMC,2022-03-01,Generac,active
BATT-000011,CUST-0000222,XFMR-000030,FDR-0001,SUB-001,33.546399,-112.143249,14.5,6.4,NMC,2022-12-01,Generac,active
BATT-000012,CUST-0000230,XFMR-000032,FDR-0001,SUB-001,33.547649,-112.143796,10.8,5.0,lithium-ion,2022-07-01,Generac,active
BATT-000013,CUST-0000243,XFMR-000033,FDR-0001,SUB-001,33.548652,-112.143301,12.2,5.9,lithium-ion,2023-06-01,SunPower,active
BATT-000014,CUST-0000341,XFMR-000050,FDR-0001,SUB-001,33.558993,-112.143556,9.2,4.4,lithium-ion,2022-10-01,Generac,active
BATT-000015,CUST-0000351,XFMR-000051,FDR-0001,SUB-001,33.559886,-112.143594,13.5,5.2,lithium-ion,2022-06-01,SolarEdge,active
BATT-000016,CUST-0000353,XFMR-000051,FDR-0001,SUB-001,33.559881,-112.143712,20.2,7.8,LFP,2020-06-01,Tesla,active
BATT-000017,CUST-0000362,XFMR-000052,FDR-0001,SUB-001,33.560491,-112.143031,21.7,9.7,LFP,2022-05-01,Generac,active
BATT-000018,CUST-0000427,XFMR-000061,FDR-0001,SUB-001,33.565713,-112.143336,18.6,8.6,NMC,2024-09-01,Enphase,active
BATT-000019,CUST-0000432,XFMR-000061,FDR-0001,SUB-001,33.565963,-112.143844,53.9,25.4,lithium-ion,2020-07-01,SolarEdge,active
BATT-000020,CUST-0000439,XFMR-000062,FDR-0001,SUB-001,33.566088,-112.143315,21.5,10.1,NMC,2020-10-01,BYD,active
BATT-000021,CUST-0000477,XFMR-000068,FDR-0001,SUB-001,33.570054,-112.143215,18.6,5.6,NMC,2020-12-01,SunPower,active
BATT-000022,CUST-0000481,XFMR-000069,FDR-0001,SUB-001,33.570332,-112.143566,125.1,47.2,LFP,2024-01-01,SolarEdge,active
BATT-000023,CUST-0000660,XFMR-000100,FDR-0002,SUB-001,33.527669,-112.143588,64.4,24.8,lithium-ion,2020-04-01,Tesla,active
BATT-000024,CUST-0000705,XFMR-000105,FDR-0002,SUB-001,33.526493,-112.143898,21.7,8.7,LFP,2023-04-01,SunPower,active
BATT-000025,CUST-0000708,XFMR-000106,FDR-0002,SUB-001,33.525788,-112.143149,13.0,6.3,lithium-ion,2022-05-01,SunPower,inactive
BATT-000026,CUST-0000711,XFMR-000106,FDR-0002,SUB-001,33.525996,-112.143036,10.4,4.4,LFP,2023-07-01,BYD,active
BATT-000027,CUST-0000727,XFMR-000111,FDR-0002,SUB-001,33.524327,-112.143104,16.3,5.0,lithium-ion,2020-11-01,Tesla,active
BATT-000028,CUST-0000812,XFMR-000128,FDR-0002,SUB-001,33.519911,-112.143112,397.1,105.1,LFP,2020-02-01,SunPower,active
BATT-000029,CUST-0000818,XFMR-000129,FDR-0002,SUB-001,33.519442,-112.14333,13.9,5.4,NMC,2022-06-01,SolarEdge,active
BATT-000030,CUST-0000836,XFMR-000130,FDR-0002,SUB-001,33.519583,-112.143904,18.6,6.2,NMC,2020-03-01,Tesla,active
