bess_id,customer_id,transformer_id,feeder_id,substation_id,latitude,longitude,power_mw,energy_mwh,chemistry,charge_efficiency,discharge_efficiency,min_soc_fraction,max_soc_fraction,augment_threshold,capex_per_kwh,application_type,manufacturer,install_date,status
CBESS-0001,CUST-0097007,XFMR-014987,FDR-0046,SUB-011,33.362893,-112.074106,1.665,6.66,LFP,0.921,0.932,0.1,0.9,0.8,330,demand_charge_mgmt,Powin,2022-11-01,active
CBESS-0002,CUST-0029007,XFMR-004479,FDR-0012,SUB-004,33.492128,-112.132041,0.934,1.868,LFP,0.904,0.95,0.1,0.9,0.8,319,peak_shaving,Powin,2021-12-01,active
CBESS-0003,CUST-0197519,XFMR-030433,FDR-0088,SUB-020,33.361295,-112.13369,0.989,1.978,LFP,0.946,0.942,0.1,0.9,0.8,329,backup,Samsung SDI,2023-01-01,active
CBESS-0004,CUST-0126129,XFMR-019461,FDR-0059,SUB-013,33.477763,-111.88932,0.296,1.184,LFP,0.923,0.907,0.1,0.9,0.8,271,backup,EnerSys,2023-01-01,active
CBESS-0005,CUST-0088513,XFMR-013700,FDR-0042,SUB-010,33.50213,-111.969361,0.859,1.718,LFP,0.941,0.911,0.1,0.9,0.8,339,peak_shaving,Samsung SDI,2022-02-01,commissioning
CBESS-0006,CUST-0135542,XFMR-020955,FDR-0062,SUB-014,33.381781,-112.022328,0.447,0.894,LFP,0.946,0.917,0.1,0.9,0.8,257,peak_shaving,Samsung SDI,2021-09-01,active
CBESS-0007,CUST-0034794,XFMR-005392,FDR-0016,SUB-004,33.491794,-112.127621,1.974,3.948,LFP,0.909,0.9,0.1,0.9,0.8,262,demand_charge_mgmt,Fluence,2022-09-01,active
CBESS-0008,CUST-0015448,XFMR-002361,FDR-0007,SUB-002,33.513337,-112.078553,1.109,4.436,NMC,0.927,0.937,0.1,0.9,0.8,348,peak_shaving,EnerSys,2024-09-01,active
CBESS-0009,CUST-0213632,XFMR-032911,FDR-0094,SUB-021,33.528477,-111.839605,1.783,7.132,NMC,0.914,0.935,0.1,0.9,0.8,283,solar_shifting,Tesla,2023-05-01,active
CBESS-0010,CUST-0099063,XFMR-015305,FDR-0047,SUB-011,33.361172,-112.048935,1.442,2.884,LFP,0.921,0.942,0.1,0.9,0.8,305,demand_charge_mgmt,EnerSys,2021-10-01,active
