community_solar_id,feeder_id,substation_id,latitude,longitude,nameplate_dc_mw,nameplate_ac_mw,dc_ac_ratio,annual_degradation_rate,tilt_degrees,azimuth_degrees,subscriber_count,subscription_type,interconnection_date,interconnection_level,status
CS-0001,FDR-0001,SUB-001,33.528113,-112.170363,1.2,0.89,1.35,0.0055,24.0,191.4,175,fixed_bill,2020-06-01,Level 3,active
CS-0002,FDR-0002,SUB-001,33.55283,-112.14346,4.96,3.54,1.4,0.005,26.4,172.5,450,fixed_bill,2024-12-01,Level 3,active
CS-0003,FDR-0010,SUB-003,33.556496,-112.021869,3.94,3.18,1.24,0.0054,24.0,178.7,132,percentage_of_output,2019-02-01,Level 2,active
CS-0004,FDR-0018,SUB-005,33.440231,-112.004528,3.53,2.63,1.34,0.004,25.0,188.1,197,fixed_bill,2023-06-01,Level 3,active
CS-0005,FDR-0020,SUB-005,33.477421,-112.032173,1.76,1.4,1.26,0.0048,25.9,174.3,360,percentage_of_output,2020-05-01,Level 2,active
CS-0006,FDR-0023,SUB-006,33.60359,-112.160813,2.56,1.87,1.37,0.0046,25.6,191.0,464,capacity_block,2024-05-01,Level 2,active
CS-0007,FDR-0025,SUB-007,33.542583,-112.147452,4.97,3.94,1.26,0.004,28.4,183.2,301,fixed_bill,2024-11-01,Level 3,active
CS-0008,FDR-0026,SUB-007,33.500718,-112.039256,4.09,3.01,1.36,0.0057,23.7,189.5,327,capacity_block,2021-10-01,Level 2,active
CS-0009,FDR-0027,SUB-007,33.623753,-112.03922,1.54,1.15,1.34,0.0058,26.2,187.6,214,fixed_bill,2023-11-01,Level 2,under_construction
CS-0010,FDR-0029,SUB-008,33.573273,-111.987165,1.92,1.45,1.32,0.0046,25.8,189.2,404,capacity_block,2024-11-01,Level 3,active
CS-0011,FDR-0030,SUB-008,33.513616,-112.037615,2.07,1.64,1.26,0.0047,25.6,191.7,432,percentage_of_output,2019-07-01,Level 3,under_construction
CS-0012,FDR-0031,SUB-008,33.513649,-111.92492,3.85,3.01,1.28,0.0058,26.0,176.4,226,capacity_block,2022-09-01,Level 3,under_construction
CS-0013,FDR-0032,SUB-008,33.454087,-111.987132,4.07,2.97,1.37,0.0054,25.3,180.4,381,fixed_bill,2020-05-01,Level 2,active
CS-0014,FDR-0034,SUB-009,33.477366,-112.197939,3.55,2.82,1.26,0.0045,23.0,175.2,191,fixed_bill,2023-02-01,Level 2,active
CS-0015,FDR-0036,SUB-009,33.420762,-112.108732,3.72,2.86,1.3,0.0046,21.1,192.8,221,capacity_block,2021-02-01,Level 2,active
CS-0016,FDR-0037,SUB-010,33.491865,-111.890867,1.44,1.04,1.39,0.0044,28.5,185.8,455,capacity_block,2020-12-01,Level 3,active
CS-0017,FDR-0040,SUB-010,33.411281,-111.969757,4.93,3.82,1.29,0.0055,26.7,178.4,111,capacity_block,2023-12-01,Level 3,active
CS-0018,FDR-0041,SUB-010,33.491903,-111.883541,1.32,0.99,1.34,0.0049,21.4,190.8,397,fixed_bill,2020-06-01,Level 2,active
CS-0019,FDR-0044,SUB-011,33.3615,-112.137608,2.03,1.64,1.24,0.0052,21.4,174.6,334,percentage_of_output,2020-12-01,Level 3,active
