charger_id,customer_id,transformer_id,feeder_id,substation_id,latitude,longitude,charger_type,power_kw,connector,install_date,network,status
EV-000001,CUST-0000004,XFMR-000001,FDR-0001,SUB-001,33.528214,-112.14321,Level 2,19.2,J1772,2023-07-01,Electrify America,active
EV-000002,CUST-0000009,XFMR-000001,FDR-0001,SUB-001,33.527734,-112.143451,Level 2,7.7,J1772,2024-11-01,EVgo,active
EV-000003,CUST-0000024,XFMR-000006,FDR-0001,SUB-001,33.528395,-112.144577,Level 1,1.4,NEMA 5-15,2020-01-01,ChargePoint,active
EV-000004,CUST-0000030,XFMR-000007,FDR-0001,SUB-001,33.527645,-112.144332,Level 2,7.7,J1772,2023-04-01,Blink,active
EV-000005,CUST-0000033,XFMR-000007,FDR-0001,SUB-001,33.527755,-112.144055,Level 2,19.2,J1772,2021-04-01,Electrify America,active
EV-000006,CUST-0000035,XFMR-000007,FDR-0001,SUB-001,33.527821,-112.14397,Level 2,11.5,J1772,2019-10-01,Electrify America,active
EV-000007,CUST-0000037,XFMR-000007,FDR-0001,SUB-001,33.527679,-112.144234,Level 2,7.7,J1772,2019-04-01,Blink,active
EV-000008,CUST-0000039,XFMR-000007,FDR-0001,SUB-001,33.527741,-112.144308,Level 2,7.7,J1772,2019-12-01,EVgo,active
EV-000009,CUST-0000079,XFMR-000014,FDR-0001,SUB-001,33.528018,-112.145075,Level 2,7.7,J1772,2022-02-01,Electrify America,active
EV-000010,CUST-0000095,XFMR-000016,FDR-0001,SUB-001,33.52793,-112.145236,Level 2,11.5,J1772,2022-03-01,EVgo,active
EV-000011,CUST-0000123,XFMR-000021,FDR-0001,SUB-001,33.528211,-112.145941,Level 1,1.4,NEMA 5-15,2019-10-01,private,active
EV-000012,CUST-0000163,XFMR-000029,FDR-0001,SUB-001,33.527976,-112.147442,Level 2,11.5,J1772,2020-06-01,private,active
EV-000013,CUST-0000189,XFMR-000034,FDR-0001,SUB-001,33.52797,-112.147713,Level 1,1.4,NEMA 5-15,2020-03-01,ChargePoint,active
EV-000014,CUST-0000194,XFMR-000034,FDR-0001,SUB-001,33.527977,-112.148312,Level 2,7.7,J1772,2023-08-01,private,active
EV-000015,CUST-0000206,XFMR-000036,FDR-0001,SUB-001,33.528283,-112.147959,Level 2,11.5,J1772,2024-06-01,Tesla,active
EV-000016,CUST-0000210,XFMR-000037,FDR-0001,SUB-001,33.528081,-112.147732,Level 2,11.5,J1772,2019-08-01,Blink,active
EV-000017,CUST-0000211,XFMR-000037,FDR-0001,SUB-001,33.528046,-112.148291,Level 2,19.2,J1772,2021-04-01,Electrify America,active
EV-000018,CUST-0000214,XFMR-000037,FDR-0001,SUB-001,33.528377,-112.148243,Level 1,1.4,NEMA 5-15,2020-09-01,ChargePoint,active
EV-000019,CUST-0000227,XFMR-000039,FDR-0001,SUB-001,33.528387,-112.148718,Level 2,19.2,J1772,2024-10-01,private,active
EV-000020,CUST-0000233,XFMR-000041,FDR-0001,SUB-001,33.527928,-112.148577,Level 1,1.4,NEMA 5-15,2019-04-01,ChargePoint,active
EV-000021,CUST-0000280,XFMR-000048,FDR-0001,SUB-001,33.527839,-112.149651,Level 2,11.5,J1772,2022-08-01,private,active
EV-000022,CUST-0000288,XFMR-000048,FDR-0001,SUB-001,33.528177,-112.149479,Level 2,11.5,J1772,2021-02-01,Blink,active
EV-000023,CUST-0000289,XFMR-000049,FDR-0001,SUB-001,33.528421,-112.150038,Level 1,1.4,NEMA 5-15,2021-01-01,private,active
EV-000024,CUST-0000290,XFMR-000049,FDR-0001,SUB-001,33.527865,-112.149781,Level 2,19.2,J1772,2019-02-01,Tesla,active
EV-000025,CUST-0000300,XFMR-000050,FDR-0001,SUB-001,33.528203,-112.149793,Level 2,11.5,J1772,2019-04-01,ChargePoint,active
EV-000026,CUST-0000311,XFMR-000051,FDR-0001,SUB-001,33.528289,-112.149781,Level 1,1.4,NEMA 5-15,2023-08-01,Electrify America,active
EV-000027,CUST-0000316,XFMR-000052,FDR-0001,SUB-001,33.527768,-112.149761,Level 1,1.4,NEMA 5-15,2022-12-01,EVgo,active
EV-000028,CUST-0000334,XFMR-000055,FDR-0001,SUB-001,33.528152,-112.150601,Level 2,11.5,J1772,2019-08-01,ChargePoint,active
EV-000029,CUST-0000337,XFMR-000055,FDR-0001,SUB-001,33.527817,-112.150913,Level 2,7.7,J1772,2019-08-01,ChargePoint,active
EV-000030,CUST-0000365,XFMR-000061,FDR-0001,SUB-001,33.528488,-112.151651,Level 1,1.4,NEMA 5-15,2019-09-01,Electrify America,active
EV-000031,CUST-0000384,XFMR-000064,FDR-0001,SUB-001,33.527724,-112.151464,Level 2,19.2,J1772,2021-09-01,ChargePoint,active
EV-000032,CUST-0000386,XFMR-000065,FDR-0001,SUB-001,33.528536,-112.151942,Level 2,11.5,J1772,2023-11-01,private,active
EV-000033,CUST-0000390,XFMR-000066,FDR-0001,SUB-001,33.528331,-112.152084,Level 2,11.5,J1772,2019-07-01,ChargePoint,active
EV-000034,CUST-0000397,XFMR-000066,FDR-0001,SUB-001,33.527987,-112.151525,Level 2,11.5,J1772,2022-08-01,ChargePoint,active
EV-000035,CUST-0000416,XFMR-000068,FDR-0001,SUB-001,33.527971,-112.152389,Level 2,7.7,J1772,2023-11-01,private,active
EV-000036,CUST-0000420,XFMR-000068,FDR-0001,SUB-001,33.527927,-112.152377,Level 2,19.2,J1772,2022-12-01,EVgo,active
EV-000037,CUST-0000436,XFMR-000070,FDR-0001,SUB-001,33.528456,-112.152935,Level 2,11.5,J1772,2021-03-01,EVgo,offline
EV-000038,CUST-0000467,XFMR-000076,FDR-0001,SUB-001,33.528194,-112.153085,Level 2,11.5,J1772,2020-10-01,ChargePoint,active
EV-000039,CUST-0000470,XFMR-000077,FDR-0001,SUB-001,33.528268,-112.153318,Level 2,7.7,J1772,2024-12-01,private,active
EV-000040,CUST-0000478,XFMR-000077,FDR-0001,SUB-001,33.527832,-112.153663,Level 2,19.2,J1772,2019-12-01,Tesla,active
EV-000041,CUST-0000485,XFMR-000079,FDR-0001,SUB-001,33.5282,-112.153896,Level 2,19.2,J1772,2024-06-01,Electrify America,active
EV-000042,CUST-0000504,XFMR-000081,FDR-0001,SUB-001,33.52845,-112.153812,Level 2,19.2,J1772,2024-12-01,Blink,active
EV-000043,CUST-0000506,XFMR-000081,FDR-0001,SUB-001,33.528269,-112.1538,Level 2,11.5,J1772,2020-04-01,Electrify America,active
EV-000044,CUST-0000507,XFMR-000081,FDR-0001,SUB-001,33.527939,-112.153792,Level 2,7.7,J1772,2024-05-01,ChargePoint,active
EV-000045,CUST-0000508,XFMR-000082,FDR-0001,SUB-001,33.527811,-112.153596,Level 2,11.5,J1772,2019-06-01,Tesla,active
EV-000046,CUST-0000523,XFMR-000084,FDR-0001,SUB-001,33.527839,-112.153858,DCFC,150,CCS,2021-01-01,Blink,active
EV-000047,CUST-0000543,XFMR-000086,FDR-0001,SUB-001,33.528377,-112.154513,Level 2,7.7,J1772,2023-06-01,Electrify America,active
EV-000048,CUST-0000557,XFMR-000090,FDR-0001,SUB-001,33.527959,-112.155524,Level 2,19.2,J1772,2019-12-01,ChargePoint,active
EV-000049,CUST-0000573,XFMR-000092,FDR-0001,SUB-001,33.527845,-112.155295,Level 1,1.4,NEMA 5-15,2023-11-01,Tesla,active
EV-000050,CUST-0000579,XFMR-000094,FDR-0001,SUB-001,33.527996,-112.155205,Level 2,11.5,J1772,2024-07-01,Blink,active
EV-000051,CUST-0000593,XFMR-000096,FDR-0001,SUB-001,33.52829,-112.155333,Level 2,11.5,J1772,2021-07-01,EVgo,active
EV-000052,CUST-0000599,XFMR-000097,FDR-0001,SUB-001,33.528449,-112.155895,Level 1,1.4,NEMA 5-15,2021-02-01,ChargePoint,active
