depot_id,feeder_id,substation_id,transformer_id,latitude,longitude,operator_name,fleet_type,num_chargers,charger_power_kw,total_capacity_mw,transformer_kva,transformer_dedicated,peak_demand_mw,operating_hours,install_date,status
DEPOT-0001,FDR-0023,SUB-006,XFMR-007536,33.563449,-112.160951,USPS,freight,44,180,7.92,2000,True,5.62,06:00-22:00,2021-12-01,active
DEPOT-0002,FDR-0026,SUB-007,XFMR-008700,33.462071,-112.039362,Republic Services,transit_bus,23,350,8.05,750,False,6.26,00:00-24:00,2021-08-01,active
DEPOT-0003,FDR-0032,SUB-008,XFMR-010055,33.499729,-111.987204,Amazon DSP,transit_bus,16,350,5.6,1000,True,3.74,04:00-20:00,2021-02-01,active
DEPOT-0004,FDR-0034,SUB-009,XFMR-010453,33.477327,-112.115519,Amazon DSP,delivery_van,10,150,1.5,1500,False,1.18,00:00-24:00,2023-06-01,active
DEPOT-0005,FDR-0043,SUB-011,XFMR-014126,33.361345,-112.045743,Valley Metro,delivery_van,41,150,6.15,1000,False,4.1,04:00-20:00,2021-04-01,active
DEPOT-0006,FDR-0048,SUB-011,XFMR-015622,33.361405,-112.126235,Frito-Lay,transit_bus,16,350,5.6,2000,True,3.59,04:00-20:00,2023-01-01,planned
DEPOT-0007,FDR-0050,SUB-012,XFMR-016246,33.404992,-111.99875,Frito-Lay,delivery_van,35,180,6.3,1000,False,3.46,04:00-20:00,2021-07-01,active
DEPOT-0008,FDR-0067,SUB-015,XFMR-022554,33.660543,-112.143611,FedEx,freight,27,150,4.05,1500,False,2.93,06:00-22:00,2024-12-01,active
DEPOT-0009,FDR-0072,SUB-016,XFMR-023938,33.412699,-112.178093,First Student,freight,36,350,12.6,1000,True,7.28,04:00-20:00,2023-04-01,active
DEPOT-0010,FDR-0081,SUB-018,XFMR-027105,33.410793,-112.195463,FedEx,delivery_van,43,350,15.05,750,True,11.16,04:00-20:00,2021-11-01,active
DEPOT-0011,FDR-0082,SUB-018,XFMR-027463,33.433852,-112.17881,UPS,school_bus,11,350,3.85,1000,False,2.45,05:00-23:00,2024-12-01,active
DEPOT-0012,FDR-0084,SUB-018,XFMR-028431,33.433834,-112.200586,UPS,transit_bus,29,150,4.35,1500,False,2.69,05:00-23:00,2023-11-01,active
DEPOT-0013,FDR-0086,SUB-019,XFMR-029313,33.626722,-111.969669,Sysco,transit_bus,16,180,2.88,1000,False,1.98,05:00-23:00,2024-02-01,active
