transformer_id,feeder_id,rated_kva,existing_der_kw,allocated_load_kw,thermal_hosting_capacity_kw,voltage_hosting_capacity_kw,limiting_factor,hosting_capacity_kw
XFMR-000001,FDR-0001,500.0,11.3,350.9,280.3,197.6,voltage,197.6
XFMR-000002,FDR-0001,167.0,0,117.5,118.5,86.0,voltage,86.0
XFMR-000003,FDR-0001,167.0,10.3,78.0,120.8,68.9,voltage,68.9
XFMR-000004,FDR-0001,37.5,0,15.7,29.4,11.1,voltage,11.1
XFMR-000005,FDR-0001,167.0,8.9,122.3,81.0,101.6,thermal,81.0
XFMR-000006,FDR-0001,15.0,113.5,7.9,0.0,0.0,voltage,0.0
XFMR-000007,FDR-0001,75.0,4.0,47.8,52.9,22.9,voltage,22.9
XFMR-000008,FDR-0001,167.0,0,81.3,113.3,86.2,voltage,86.2
XFMR-000009,FDR-0001,500.0,6.6,255.8,329.2,217.0,voltage,217.0
XFMR-000010,FDR-0001,500.0,10.6,387.0,290.3,193.8,voltage,193.8
XFMR-000011,FDR-0001,167.0,0,109.3,90.9,97.3,thermal,90.9
XFMR-000012,FDR-0001,250.0,9.2,94.2,182.8,119.8,voltage,119.8
XFMR-000013,FDR-0001,15.0,6.3,10.2,6.8,4.3,voltage,4.3
XFMR-000014,FDR-0001,167.0,180.1,109.9,16.5,0.0,voltage,0.0
XFMR-000015,FDR-0001,15.0,18.8,10.2,0.3,0.0,voltage,0.0
XFMR-000016,FDR-0001,333.0,9.9,205.4,236.3,166.5,voltage,166.5
XFMR-000017,FDR-0001,167.0,37.1,121.9,81.3,27.0,voltage,27.0
XFMR-000018,FDR-0001,10.0,15.7,4.2,0.0,0.0,voltage,0.0
XFMR-000019,FDR-0001,167.0,0,81.6,134.4,76.2,voltage,76.2
XFMR-000020,FDR-0001,15.0,6.4,4.5,9.1,3.4,voltage,3.4
XFMR-000021,FDR-0001,15.0,101.0,11.1,0.0,0.0,voltage,0.0
XFMR-000022,FDR-0001,500.0,7.6,289.6,353.4,223.0,voltage,223.0
XFMR-000023,FDR-0001,333.0,0,119.3,215.7,199.9,voltage,199.9
XFMR-000024,FDR-0001,100.0,0,71.2,61.5,74.9,thermal,61.5
XFMR-000025,FDR-0001,75.0,11.5,37.0,42.2,34.0,voltage,34.0
XFMR-000026,FDR-0001,333.0,3.2,171.8,249.7,142.7,voltage,142.7
XFMR-000027,FDR-0001,167.0,15.6,109.8,91.5,74.8,voltage,74.8
XFMR-000028,FDR-0001,167.0,0,58.7,129.1,79.3,voltage,79.3
XFMR-000029,FDR-0001,500.0,11.6,255.1,318.4,285.8,voltage,285.8
XFMR-000030,FDR-0001,15.0,0,10.2,9.0,7.1,voltage,7.1
XFMR-000031,FDR-0001,10.0,0,4.6,6.5,5.2,voltage,5.2
XFMR-000032,FDR-0001,333.0,0,117.0,227.9,160.5,voltage,160.5
XFMR-000033,FDR-0001,333.0,0,166.1,203.3,150.3,voltage,150.3
XFMR-000034,FDR-0001,167.0,0,80.3,115.4,68.8,voltage,68.8
XFMR-000035,FDR-0001,25.0,0,7.7,20.2,14.9,voltage,14.9
XFMR-000036,FDR-0001,50.0,48.9,18.0,12.9,0.0,voltage,0.0
XFMR-000037,FDR-0001,15.0,13.2,7.8,3.5,0.0,voltage,0.0
XFMR-000038,FDR-0001,15.0,4.9,5.4,7.8,3.8,voltage,3.8
XFMR-000039,FDR-0001,333.0,0,131.9,273.6,176.2,voltage,176.2
XFMR-000040,FDR-0001,333.0,6.6,184.1,194.0,161.3,voltage,161.3
XFMR-000041,FDR-0001,15.0,0,5.1,12.2,7.4,voltage,7.4
XFMR-000042,FDR-0001,250.0,6.9,188.9,149.3,89.8,voltage,89.8
XFMR-000043,FDR-0001,333.0,38.7,224.9,157.6,135.4,voltage,135.4
XFMR-000044,FDR-0001,50.0,8.8,15.1,31.8,17.4,voltage,17.4
XFMR-000045,FDR-0001,15.0,8.2,7.7,6.0,0.8,voltage,0.8
XFMR-000046,FDR-0001,15.0,8.6,8.5,6.1,0.1,voltage,0.1
XFMR-000047,FDR-0001,10.0,0,6.4,6.8,6.6,voltage,6.6
XFMR-000048,FDR-0001,333.0,12.0,187.5,235.3,239.0,thermal,235.3
XFMR-000049,FDR-0001,25.0,90.5,13.2,0.0,0.0,voltage,0.0
XFMR-000050,FDR-0001,75.0,0,23.3,65.3,32.8,voltage,32.8
XFMR-000051,FDR-0001,100.0,0,50.9,78.9,46.7,voltage,46.7
XFMR-000052,FDR-0001,167.0,0,110.4,90.4,73.0,voltage,73.0
XFMR-000053,FDR-0001,167.0,30.8,65.8,112.0,72.7,voltage,72.7
XFMR-000054,FDR-0001,167.0,5.6,95.4,100.2,102.6,thermal,100.2
XFMR-000055,FDR-0001,50.0,5.0,15.5,40.2,17.2,voltage,17.2
XFMR-000056,FDR-0001,15.0,0,11.3,9.1,7.3,voltage,7.3
XFMR-000057,FDR-0001,100.0,9.9,77.7,47.2,29.9,voltage,29.9
XFMR-000058,FDR-0001,75.0,5.2,53.9,49.5,26.7,voltage,26.7
XFMR-000059,FDR-0001,15.0,0,8.8,11.6,6.3,voltage,6.3
XFMR-000060,FDR-0001,250.0,11.3,177.4,128.6,73.0,voltage,73.0
XFMR-000061,FDR-0001,10.0,119.0,5.7,0.0,0.0,voltage,0.0
XFMR-000062,FDR-0001,37.5,5.1,24.7,22.0,16.3,voltage,16.3
XFMR-000063,FDR-0001,100.0,3.8,75.6,50.7,51.9,thermal,50.7
XFMR-000064,FDR-0001,50.0,3.4,29.6,33.2,29.9,voltage,29.9
XFMR-000065,FDR-0001,15.0,14.8,10.6,2.3,0.0,voltage,0.0
XFMR-000066,FDR-0001,75.0,3.9,43.2,56.9,32.5,voltage,32.5
XFMR-000067,FDR-0001,10.0,74.7,7.7,0.0,0.0,voltage,0.0
XFMR-000068,FDR-0001,167.0,4.2,66.5,104.7,107.5,thermal,104.7
XFMR-000069,FDR-0001,100.0,3.2,58.7,74.5,47.3,voltage,47.3
XFMR-000070,FDR-0001,10.0,0,5.6,7.6,4.7,voltage,4.7
XFMR-000071,FDR-0001,25.0,0,9.3,16.8,9.9,voltage,9.9
XFMR-000072,FDR-0001,25.0,0,7.6,21.1,12.3,voltage,12.3
XFMR-000073,FDR-0001,15.0,0,4.6,13.0,6.3,voltage,6.3
XFMR-000074,FDR-0001,333.0,0,216.4,205.3,172.7,voltage,172.7
XFMR-000075,FDR-0001,25.0,21.8,15.1,5.6,0.0,voltage,0.0
XFMR-000076,FDR-0001,100.0,0,62.3,70.8,45.8,voltage,45.8
XFMR-000077,FDR-0001,37.5,0,13.7,31.9,16.2,voltage,16.2
XFMR-000078,FDR-0001,75.0,5.6,52.2,51.0,38.0,voltage,38.0
XFMR-000079,FDR-0001,500.0,438.5,361.2,106.2,0.0,voltage,0.0
XFMR-000080,FDR-0001,500.0,0,261.5,312.5,291.5,voltage,291.5
XFMR-000081,FDR-0001,500.0,0,300.5,363.8,222.8,voltage,222.8
XFMR-000082,FDR-0001,167.0,0,91.8,127.5,73.8,voltage,73.8
XFMR-000083,FDR-0001,333.0,355.5,172.3,60.5,0.0,voltage,0.0
XFMR-000084,FDR-0001,167.0,145.5,84.6,41.6,0.0,voltage,0.0
XFMR-000085,FDR-0001,167.0,12.4,124.5,84.9,87.9,thermal,84.9
XFMR-000086,FDR-0001,167.0,0,118.9,85.2,100.1,thermal,85.2
XFMR-000087,FDR-0001,500.0,5.9,361.3,330.2,307.9,voltage,307.9
XFMR-000088,FDR-0001,50.0,0,31.5,39.5,19.3,voltage,19.3
XFMR-000089,FDR-0001,50.0,146.7,20.1,0.0,0.0,voltage,0.0
XFMR-000090,FDR-0001,500.0,7.1,212.3,349.0,298.5,voltage,298.5
XFMR-000091,FDR-0001,500.0,25.1,380.0,304.9,299.9,voltage,299.9
XFMR-000092,FDR-0001,75.0,8.0,49.5,42.1,41.2,voltage,41.2
XFMR-000093,FDR-0001,15.0,0,8.2,8.8,7.0,voltage,7.0
XFMR-000094,FDR-0001,25.0,0,12.4,14.7,13.8,voltage,13.8
XFMR-000095,FDR-0001,10.0,139.0,6.1,0.0,0.0,voltage,0.0
XFMR-000096,FDR-0001,167.0,48.4,75.4,94.9,64.9,voltage,64.9
XFMR-000097,FDR-0001,167.0,17.6,130.6,96.6,85.5,voltage,85.5
XFMR-000098,FDR-0001,333.0,0,209.9,221.4,181.4,voltage,181.4
XFMR-000099,FDR-0001,250.0,5.7,182.0,151.2,142.6,voltage,142.6
XFMR-000100,FDR-0001,100.0,0,54.5,68.8,56.1,voltage,56.1
XFMR-000101,FDR-0001,250.0,0,173.9,155.2,126.0,voltage,126.0
XFMR-000102,FDR-0001,500.0,94.5,292.4,266.7,154.6,voltage,154.6
