feeder_id,timestamp,load_mw,load_mvar,voltage_pu,power_factor
FDR-0001,2024-01-15 00:00,1.236,0.44,1.0456,0.942
FDR-0001,2024-01-15 01:00,1.375,0.662,1.0416,0.901
FDR-0001,2024-01-15 02:00,1.366,0.626,0.955,0.909
FDR-0001,2024-01-15 03:00,1.413,0.688,0.9799,0.899
FDR-0001,2024-01-15 04:00,1.451,0.715,1.0159,0.897
FDR-0001,2024-01-15 05:00,1.421,0.38,0.9851,0.966
FDR-0001,2024-01-15 06:00,1.466,0.775,0.9559,0.884
FDR-0001,2024-01-15 07:00,1.632,0.64,0.9568,0.931
FDR-0001,2024-01-15 08:00,1.946,0.775,1.0058,0.929
FDR-0001,2024-01-15 09:00,2.071,0.772,0.9817,0.937
FDR-0001,2024-01-15 10:00,2.166,0.681,1.0021,0.954
FDR-0001,2024-01-15 11:00,2.369,1.24,1.0326,0.886
FDR-0001,2024-01-15 12:00,2.501,1.02,0.9536,0.926
FDR-0001,2024-01-15 13:00,2.236,0.979,1.012,0.916
FDR-0001,2024-01-15 14:00,2.125,0.728,0.953,0.946
FDR-0001,2024-01-15 15:00,2.211,0.773,1.0111,0.944
FDR-0001,2024-01-15 16:00,2.452,0.823,1.045,0.948
FDR-0001,2024-01-15 17:00,2.625,0.815,1.0055,0.955
FDR-0001,2024-01-15 18:00,2.858,1.432,1.0419,0.894
FDR-0001,2024-01-15 19:00,2.608,0.607,1.0166,0.974
FDR-0001,2024-01-15 20:00,1.918,1.004,0.9792,0.886
FDR-0001,2024-01-15 21:00,1.791,0.821,1.0313,0.909
FDR-0001,2024-01-15 22:00,1.701,0.9,1.038,0.884
FDR-0001,2024-01-15 23:00,1.636,0.424,0.9832,0.968
FDR-0001,2024-01-16 00:00,1.352,0.314,0.9802,0.974
FDR-0001,2024-01-16 01:00,1.396,0.488,0.9676,0.944
FDR-0001,2024-01-16 02:00,1.324,0.544,0.9565,0.925
FDR-0001,2024-01-16 03:00,1.375,0.59,1.0168,0.919
FDR-0001,2024-01-16 04:00,1.322,0.614,0.9744,0.907
FDR-0001,2024-01-16 05:00,1.26,0.461,0.9986,0.939
FDR-0001,2024-01-16 06:00,1.376,0.462,0.9762,0.948
FDR-0001,2024-01-16 07:00,1.695,0.826,1.0445,0.899
FDR-0001,2024-01-16 08:00,1.988,0.735,0.9911,0.938
FDR-0001,2024-01-16 09:00,2.026,1.027,0.9956,0.892
FDR-0001,2024-01-16 10:00,2.2,1.133,1.0266,0.889
FDR-0001,2024-01-16 11:00,2.288,1.049,0.9858,0.909
