edge_id,from_node_id,to_node_id,feeder_id,substation_id,edge_type,conductor_type,phase,length_miles,length_ft,impedance_r_ohm_per_mile,impedance_x_ohm_per_mile,impedance_z0_ohm_per_mile,rated_amps,nominal_voltage_kv,num_phases,is_overhead,installation_year,status
EDGE-000001,SUB-001,FDR-0001-HEAD,FDR-0001,SUB-001,bus_tie,795 ACSR,ABC,0.01,52.8,0.1198,0.355,0.26,700,12.47,3,1,,closed
EDGE-000002,FDR-0001-HEAD,JCT-FDR-0001-001,FDR-0001,SUB-001,primary_overhead,795 ACSR,ABC,0.01,52.8,0.1397,0.3847,0.2832,700,12.47,3,1,,closed
EDGE-000003,JCT-FDR-0001-001,FUSE-XFMR-000001,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.002,9.5,0.8166,0.4874,0.6985,150,12.47,1,1,,closed
EDGE-000004,FUSE-XFMR-000001,XFMR-000001,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.01,53.9,0.9208,0.5359,0.6985,150,12.47,1,1,,closed
EDGE-000005,JCT-FDR-0001-001,FUSE-XFMR-000002,FDR-0001,SUB-001,lateral_overhead,1/0 AL,A,0.002,8.7,0.6297,0.4412,0.5345,230,12.47,1,1,,closed
EDGE-000006,FUSE-XFMR-000002,XFMR-000002,FDR-0001,SUB-001,lateral_overhead,1/0 AL,A,0.009,49.4,0.5405,0.4958,0.5345,230,12.47,1,1,,closed
EDGE-000007,JCT-FDR-0001-001,FUSE-XFMR-000003,FDR-0001,SUB-001,lateral_overhead,#4 CU,A,0.003,14.3,1.3756,0.5551,1.007,100,12.47,1,1,,closed
EDGE-000008,FUSE-XFMR-000003,XFMR-000003,FDR-0001,SUB-001,lateral_overhead,#4 CU,A,0.015,80.8,1.4337,0.4911,1.007,100,12.47,1,1,,closed
EDGE-000009,JCT-FDR-0001-001,FUSE-XFMR-000004,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,AC,0.005,25.3,0.9096,0.5512,0.6985,150,12.47,2,1,,closed
EDGE-000010,FUSE-XFMR-000004,XFMR-000004,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,AC,0.027,143.6,0.8167,0.5052,0.6985,150,12.47,2,1,,closed
