node_id,node_type,substation_id,feeder_id,latitude,longitude,nominal_voltage_kv,equipment_class,rated_capacity,rated_capacity_units,phase,installation_year,status
SUB-001,substation_bus,SUB-001,,33.305577,-112.239,115,substation,30,MVA,ABC,,active
SUB-002,substation_bus,SUB-002,,33.301815,-112.06638,69,substation,20,MVA,ABC,,planned
SUB-003,substation_bus,SUB-003,,33.287954,-111.914005,230,substation,30,MVA,ABC,,active
SUB-004,substation_bus,SUB-004,,33.386386,-112.273095,115,substation,30,MVA,ABC,,active
SUB-005,substation_bus,SUB-005,,33.383869,-112.1261,230,substation,20,MVA,ABC,,active
SUB-006,substation_bus,SUB-006,,33.395141,-111.997918,230,substation,40,MVA,ABC,,planned
SUB-007,substation_bus,SUB-007,,33.389116,-111.878424,69,substation,20,MVA,ABC,,active
SUB-008,substation_bus,SUB-008,,33.486506,-112.275789,230,substation,80,MVA,ABC,,active
SUB-009,substation_bus,SUB-009,,33.486846,-112.130835,69,substation,50,MVA,ABC,,active
SUB-010,substation_bus,SUB-010,,33.507385,-111.986286,69,substation,20,MVA,ABC,,active
SUB-011,substation_bus,SUB-011,,33.516525,-111.867313,230,substation,30,MVA,ABC,,active
SUB-012,substation_bus,SUB-012,,33.590595,-112.230135,230,substation,40,MVA,ABC,,active
SUB-013,substation_bus,SUB-013,,33.588773,-112.050098,230,substation,20,MVA,ABC,,active
SUB-014,substation_bus,SUB-014,,33.611683,-111.973114,69,substation,50,MVA,ABC,,active
SUB-015,substation_bus,SUB-015,,33.602129,-111.852303,230,substation,20,MVA,ABC,,active
FDR-0001-HEAD,feeder_breaker,SUB-001,FDR-0001,33.305577,-112.239,12.47,breaker,18.5,MW,ABC,,closed
FDR-0001-TAIL,feeder_endpoint,SUB-001,FDR-0001,33.388402,-112.132669,12.47,open_point,,,ABC,,open
FDR-0002-HEAD,feeder_breaker,SUB-001,FDR-0002,33.305577,-112.239,12.47,breaker,18.4,MW,ABC,,closed
FDR-0002-TAIL,feeder_endpoint,SUB-001,FDR-0002,33.401291,-112.349747,12.47,open_point,,,ABC,,open
FDR-0003-HEAD,feeder_breaker,SUB-001,FDR-0003,33.305577,-112.239,12.47,breaker,19.4,MW,ABC,,closed
FDR-0003-TAIL,feeder_endpoint,SUB-001,FDR-0003,33.208251,-112.420328,12.47,open_point,,,ABC,,open
FDR-0004-HEAD,feeder_breaker,SUB-001,FDR-0004,33.305577,-112.239,12.47,breaker,19.1,MW,ABC,,closed
FDR-0004-TAIL,feeder_endpoint,SUB-001,FDR-0004,33.202656,-112.141125,12.47,open_point,,,ABC,,open
FDR-0005-HEAD,feeder_breaker,SUB-002,FDR-0005,33.301815,-112.06638,12.47,breaker,16.8,MW,ABC,,closed
FDR-0005-TAIL,feeder_endpoint,SUB-002,FDR-0005,33.44066,-111.859352,12.47,open_point,,,ABC,,open
FDR-0006-HEAD,feeder_breaker,SUB-002,FDR-0006,33.301815,-112.06638,12.47,breaker,10.0,MW,ABC,,closed
FDR-0006-TAIL,feeder_endpoint,SUB-002,FDR-0006,33.411334,-112.152187,12.47,open_point,,,ABC,,open
FDR-0007-HEAD,feeder_breaker,SUB-002,FDR-0007,33.301815,-112.06638,12.47,breaker,16.3,MW,ABC,,closed
FDR-0007-TAIL,feeder_endpoint,SUB-002,FDR-0007,33.058619,-112.037309,12.47,open_point,,,ABC,,open
FDR-0008-HEAD,feeder_breaker,SUB-003,FDR-0008,33.287954,-111.914005,13.8,breaker,8.8,MW,ABC,,closed
FDR-0008-TAIL,feeder_endpoint,SUB-003,FDR-0008,33.308834,-111.966529,13.8,open_point,,,ABC,,open
FDR-0009-HEAD,feeder_breaker,SUB-003,FDR-0009,33.287954,-111.914005,13.8,breaker,15.6,MW,ABC,,closed
FDR-0009-TAIL,feeder_endpoint,SUB-003,FDR-0009,33.25922,-111.924036,13.8,open_point,,,ABC,,open
