chp_id,customer_id,transformer_id,feeder_id,substation_id,latitude,longitude,facility_type,nameplate_mw,heat_rate_btu_per_kwh,forced_outage_rate,planned_outage_rate,min_stable_level_fraction,startup_time_minutes,gas_pressure_psig_required,ramp_rate_mw_per_min,thermal_output_mmbtu_hr,thermal_efficiency,install_date,status
CHP-0001,CUST-0133917,XFMR-020688,FDR-0061,SUB-014,33.356073,-112.022102,laundry,1.06,9012,0.049,0.048,0.31,13.8,15,0.129,4.86,0.494,2022-03-01,active
CHP-0002,CUST-0103282,XFMR-015949,FDR-0049,SUB-012,33.44097,-112.056817,food_processing,2.87,10476,0.032,0.034,0.33,20.3,2,0.167,10.14,0.465,2021-01-01,active
CHP-0003,CUST-0025439,XFMR-003923,FDR-0011,SUB-004,33.49709,-112.091109,university,0.68,8527,0.059,0.037,0.39,22.8,5,0.057,3.09,0.504,2022-07-01,active
CHP-0004,CUST-0071133,XFMR-011035,FDR-0035,SUB-009,33.51114,-112.10922,data_center_small,3.16,9769,0.042,0.043,0.39,11.8,5,0.256,12.11,0.442,2023-12-01,active
CHP-0005,CUST-0044466,XFMR-006900,FDR-0021,SUB-006,33.536131,-112.16104,food_processing,4.76,8540,0.051,0.036,0.35,19.3,15,0.366,23.71,0.539,2021-06-01,active
CHP-0006,CUST-0165070,XFMR-025478,FDR-0076,SUB-017,33.339029,-112.039322,university,1.71,10486,0.05,0.05,0.31,15.1,2,0.143,7.3,0.409,2022-01-01,active
CHP-0007,CUST-0117683,XFMR-018169,FDR-0057,SUB-013,33.477173,-111.978835,laundry,2.89,9290,0.033,0.031,0.26,8.6,30,0.196,10.46,0.461,2024-06-01,active
CHP-0008,CUST-0181427,XFMR-027958,FDR-0083,SUB-018,33.44076,-112.196008,hospital,4.89,8878,0.04,0.04,0.34,13.0,5,0.358,20.55,0.53,2023-07-01,active
CHP-0009,CUST-0219892,XFMR-033899,FDR-0097,SUB-022,33.492107,-112.168757,brewery,1.03,9933,0.044,0.032,0.37,7.2,30,0.113,4.57,0.424,2022-08-01,active
CHP-0010,CUST-0153197,XFMR-023667,FDR-0071,SUB-016,33.383397,-112.129389,hospital,3.63,9920,0.033,0.031,0.4,12.5,60,0.405,12.07,0.426,2019-12-01,active
CHP-0011,CUST-0040350,XFMR-006245,FDR-0018,SUB-005,33.455039,-112.004214,data_center_small,0.74,10260,0.023,0.047,0.33,22.5,15,0.071,2.55,0.502,2019-02-01,active
CHP-0012,CUST-0095648,XFMR-014776,FDR-0045,SUB-011,33.317275,-112.073673,laundry,2.06,9876,0.046,0.042,0.35,20.1,30,0.129,7.77,0.405,2019-03-01,maintenance
CHP-0013,CUST-0158671,XFMR-024516,FDR-0074,SUB-016,33.382998,-112.198036,university,2.33,9838,0.035,0.048,0.32,27.8,60,0.246,8.67,0.401,2021-03-01,active
CHP-0014,CUST-0178975,XFMR-027580,FDR-0082,SUB-018,33.433661,-112.156914,food_processing,1.65,9765,0.03,0.046,0.33,8.0,60,0.121,6.72,0.441,2023-01-01,active
CHP-0015,CUST-0201799,XFMR-031077,FDR-0089,SUB-020,33.292918,-112.160693,brewery,4.55,8635,0.058,0.046,0.31,12.9,15,0.556,19.81,0.428,2021-05-01,active
CHP-0016,CUST-0149856,XFMR-023162,FDR-0070,SUB-015,33.586097,-112.100912,hotel,1.61,10500,0.056,0.036,0.36,9.8,15,0.175,6.33,0.44,2024-02-01,active
CHP-0017,CUST-0202051,XFMR-031116,FDR-0090,SUB-020,33.361644,-112.177097,hotel,0.96,9834,0.032,0.034,0.3,9.3,5,0.072,4.05,0.401,2021-04-01,active
CHP-0018,CUST-0199150,XFMR-030673,FDR-0088,SUB-020,33.36135,-112.109699,brewery,3.28,10381,0.027,0.044,0.34,15.0,15,0.197,14.58,0.513,2020-02-01,active
CHP-0019,CUST-0172967,XFMR-026681,FDR-0080,SUB-018,33.433652,-112.203788,data_center_small,1.98,9746,0.055,0.032,0.35,9.7,5,0.237,9.4,0.444,2021-01-01,maintenance
CHP-0020,CUST-0055410,XFMR-008580,FDR-0026,SUB-007,33.48311,-112.039501,hospital,2.39,9492,0.035,0.036,0.34,28.0,60,0.16,7.41,0.462,2022-04-01,active
CHP-0021,CUST-0099811,XFMR-015419,FDR-0048,SUB-011,33.361462,-112.077504,brewery,3.97,10420,0.033,0.034,0.34,28.7,60,0.462,12.82,0.402,2023-11-01,active
CHP-0022,CUST-0195146,XFMR-030068,FDR-0087,SUB-019,33.510402,-111.970016,data_center_small,4.92,9477,0.029,0.049,0.27,19.1,30,0.583,16.61,0.434,2020-09-01,active
CHP-0023,CUST-0227184,XFMR-035016,FDR-0100,SUB-023,33.552132,-112.021563,data_center_small,1.76,9439,0.042,0.032,0.32,29.3,5,0.102,7.77,0.474,2021-02-01,active
