solar_id,customer_id,transformer_id,feeder_id,substation_id,latitude,longitude,capacity_kw,panel_type,azimuth_deg,tilt_deg,install_date,inverter_type,status
SOL-000001,CUST-0000002,XFMR-000001,FDR-0001,SUB-001,33.528599,-112.143758,10.6,polycrystalline,169,31,2018-07-01,micro,active
SOL-000002,CUST-0000008,XFMR-000001,FDR-0001,SUB-001,33.528667,-112.143257,4.0,monocrystalline,159,16,2024-06-01,micro,active
SOL-000003,CUST-0000009,XFMR-000001,FDR-0001,SUB-001,33.528667,-112.14393,179.7,monocrystalline,199,22,2017-12-01,string,active
SOL-000004,CUST-0000023,XFMR-000003,FDR-0001,SUB-001,33.530014,-112.14373,9.2,monocrystalline,168,24,2018-10-01,string,active
SOL-000005,CUST-0000030,XFMR-000004,FDR-0001,SUB-001,33.530866,-112.143235,7.6,polycrystalline,208,33,2021-07-01,string,active
SOL-000006,CUST-0000053,XFMR-000008,FDR-0001,SUB-001,33.533028,-112.14379,8.2,polycrystalline,190,25,2021-02-01,string,active
SOL-000007,CUST-0000055,XFMR-000008,FDR-0001,SUB-001,33.532702,-112.143269,8.9,monocrystalline,187,29,2021-08-01,hybrid,active
SOL-000008,CUST-0000064,XFMR-000009,FDR-0001,SUB-001,33.533804,-112.143734,7.0,thin-film,206,26,2020-12-01,micro,active
SOL-000009,CUST-0000085,XFMR-000012,FDR-0001,SUB-001,33.535859,-112.143256,379.9,thin-film,156,35,2022-07-01,micro,active
SOL-000010,CUST-0000096,XFMR-000013,FDR-0001,SUB-001,33.536404,-112.143851,5.9,polycrystalline,156,33,2023-06-01,hybrid,active
SOL-000011,CUST-0000101,XFMR-000014,FDR-0001,SUB-001,33.536545,-112.143253,28.7,thin-film,194,20,2016-08-01,string,active
SOL-000012,CUST-0000104,XFMR-000014,FDR-0001,SUB-001,33.536659,-112.143817,6.4,polycrystalline,168,30,2020-10-01,hybrid,active
SOL-000013,CUST-0000120,XFMR-000015,FDR-0001,SUB-001,33.537438,-112.143678,4.9,polycrystalline,158,29,2024-09-01,micro,active
SOL-000014,CUST-0000129,XFMR-000017,FDR-0001,SUB-001,33.538317,-112.143103,5.1,monocrystalline,160,25,2019-01-01,string,active
SOL-000015,CUST-0000133,XFMR-000017,FDR-0001,SUB-001,33.538168,-112.143633,9.1,thin-film,154,30,2017-07-01,micro,active
SOL-000016,CUST-0000149,XFMR-000018,FDR-0001,SUB-001,33.539373,-112.143112,6.6,polycrystalline,192,28,2019-05-01,hybrid,active
SOL-000017,CUST-0000157,XFMR-000020,FDR-0001,SUB-001,33.54027,-112.143547,10.2,thin-film,184,19,2022-08-01,string,active
SOL-000018,CUST-0000174,XFMR-000022,FDR-0001,SUB-001,33.541732,-112.143734,260.7,monocrystalline,173,22,2019-11-01,string,active
SOL-000019,CUST-0000178,XFMR-000022,FDR-0001,SUB-001,33.541239,-112.143783,10.4,monocrystalline,154,32,2022-08-01,hybrid,active
SOL-000020,CUST-0000184,XFMR-000023,FDR-0001,SUB-001,33.541854,-112.143885,5.5,thin-film,179,16,2022-03-01,hybrid,active
