transformer_id,feeder_id,substation_id,latitude,longitude,rated_kva,phase,primary_voltage_kv,secondary_voltage_v,age_years,manufacturer,status
XFMR-000001,FDR-0001,SUB-001,33.527974,-112.143647,500,B,12.47,208,10,ABB,active
XFMR-000002,FDR-0001,SUB-001,33.528206,-112.143708,167,A,12.47,480,45,GE,active
XFMR-000003,FDR-0001,SUB-001,33.528221,-112.143821,167,A,12.47,120,28,Prolec,active
XFMR-000004,FDR-0001,SUB-001,33.527988,-112.144019,37.5,AC,12.47,120,44,GE,active
XFMR-000005,FDR-0001,SUB-001,33.528039,-112.144096,167,BC,12.47,480,18,Eaton,active
XFMR-000006,FDR-0001,SUB-001,33.528171,-112.144257,15,AB,12.47,208,27,GE,active
XFMR-000007,FDR-0001,SUB-001,33.527973,-112.144419,75,AB,12.47,480,19,Prolec,active
XFMR-000008,FDR-0001,SUB-001,33.528044,-112.144477,167,A,12.47,208,17,GE,active
XFMR-000009,FDR-0001,SUB-001,33.52804,-112.144609,500,ABC,12.47,480,27,ABB,active
XFMR-000010,FDR-0001,SUB-001,33.528163,-112.144779,500,AB,12.47,120,14,GE,active
XFMR-000011,FDR-0001,SUB-001,33.52822,-112.144851,167,A,12.47,120,41,Howard Industries,active
XFMR-000012,FDR-0001,SUB-001,33.528198,-112.145001,250,A,12.47,480,6,Eaton,active
XFMR-000013,FDR-0001,SUB-001,33.528218,-112.145109,15,AC,12.47,240,32,Prolec,active
XFMR-000014,FDR-0001,SUB-001,33.528198,-112.145258,167,AB,12.47,240,30,Howard Industries,active
XFMR-000015,FDR-0001,SUB-001,33.527982,-112.145438,15,C,12.47,480,22,Howard Industries,active
XFMR-000016,FDR-0001,SUB-001,33.528127,-112.145586,333,BC,12.47,480,10,Siemens,active
XFMR-000017,FDR-0001,SUB-001,33.528162,-112.14568,167,C,12.47,240,45,Eaton,active
XFMR-000018,FDR-0001,SUB-001,33.52815,-112.145819,10,C,12.47,480,25,Siemens,active
XFMR-000019,FDR-0001,SUB-001,33.528042,-112.145892,167,A,12.47,240,33,Howard Industries,active
XFMR-000020,FDR-0001,SUB-001,33.528137,-112.14609,15,BC,12.47,480,1,Prolec,active
XFMR-000021,FDR-0001,SUB-001,33.52805,-112.146141,15,AB,12.47,208,22,Howard Industries,active
XFMR-000022,FDR-0001,SUB-001,33.528192,-112.146292,500,ABC,12.47,480,21,Prolec,active
XFMR-000023,FDR-0001,SUB-001,33.528039,-112.146409,333,A,12.47,240,41,Prolec,active
XFMR-000024,FDR-0001,SUB-001,33.528063,-112.146514,100,A,12.47,120,29,Eaton,active
XFMR-000025,FDR-0001,SUB-001,33.528053,-112.146652,75,ABC,12.47,120,19,GE,active
XFMR-000026,FDR-0001,SUB-001,33.528142,-112.146856,333,AC,12.47,240,11,Eaton,active
XFMR-000027,FDR-0001,SUB-001,33.52805,-112.146912,167,BC,12.47,240,15,Siemens,active
XFMR-000028,FDR-0001,SUB-001,33.528009,-112.147082,167,C,12.47,240,5,Siemens,active
XFMR-000029,FDR-0001,SUB-001,33.528226,-112.147157,500,AB,12.47,208,30,GE,active
XFMR-000030,FDR-0001,SUB-001,33.528165,-112.147346,15,B,12.47,480,37,GE,active
XFMR-000031,FDR-0001,SUB-001,33.528226,-112.147414,10,ABC,12.47,480,18,ABB,active
XFMR-000032,FDR-0001,SUB-001,33.528032,-112.147573,333,AC,12.47,480,19,Eaton,active
XFMR-000033,FDR-0001,SUB-001,33.527998,-112.147735,333,C,12.47,240,41,ABB,active
XFMR-000034,FDR-0001,SUB-001,33.528192,-112.147834,167,A,12.47,208,9,ABB,active
XFMR-000035,FDR-0001,SUB-001,33.52816,-112.147994,25,B,12.47,240,35,GE,active
XFMR-000036,FDR-0001,SUB-001,33.528054,-112.148064,50,ABC,12.47,480,19,Prolec,active
XFMR-000037,FDR-0001,SUB-001,33.528207,-112.148204,15,B,12.47,240,44,Prolec,active
XFMR-000038,FDR-0001,SUB-001,33.528167,-112.148373,15,ABC,12.47,480,1,GE,active
XFMR-000039,FDR-0001,SUB-001,33.528172,-112.148496,333,AB,12.47,208,7,Prolec,active
XFMR-000040,FDR-0001,SUB-001,33.52813,-112.148667,333,B,12.47,120,41,Siemens,active
XFMR-000041,FDR-0001,SUB-001,33.528157,-112.148768,15,B,12.47,120,3,GE,active
XFMR-000042,FDR-0001,SUB-001,33.527975,-112.148915,250,B,12.47,480,30,GE,active
XFMR-000043,FDR-0001,SUB-001,33.528201,-112.148981,333,AC,12.47,240,27,Prolec,active
XFMR-000044,FDR-0001,SUB-001,33.528176,-112.149135,50,A,12.47,208,14,Siemens,active
XFMR-000045,FDR-0001,SUB-001,33.528151,-112.149288,15,AC,12.47,208,35,Prolec,active
XFMR-000046,FDR-0001,SUB-001,33.528003,-112.149401,15,ABC,12.47,480,6,Prolec,active
XFMR-000047,FDR-0001,SUB-001,33.528027,-112.149505,10,ABC,12.47,208,16,Eaton,active
XFMR-000048,FDR-0001,SUB-001,33.527984,-112.149677,333,B,12.47,240,22,Eaton,active
XFMR-000049,FDR-0001,SUB-001,33.528187,-112.149766,25,B,12.47,208,12,ABB,active
XFMR-000050,FDR-0001,SUB-001,33.527966,-112.149952,75,ABC,12.47,240,38,GE,failed
XFMR-000051,FDR-0001,SUB-001,33.52799,-112.150056,100,BC,12.47,120,5,Siemens,active
XFMR-000052,FDR-0001,SUB-001,33.527999,-112.150175,167,BC,12.47,240,40,ABB,active
XFMR-000053,FDR-0001,SUB-001,33.528218,-112.150249,167,AC,12.47,120,4,Siemens,active
XFMR-000054,FDR-0001,SUB-001,33.528006,-112.150426,167,AC,12.47,480,5,ABB,active
XFMR-000055,FDR-0001,SUB-001,33.527978,-112.150582,50,BC,12.47,208,25,Howard Industries,active
XFMR-000056,FDR-0001,SUB-001,33.528172,-112.15068,15,ABC,12.47,120,42,Prolec,active
XFMR-000057,FDR-0001,SUB-001,33.528018,-112.150799,100,AB,12.47,240,27,GE,active
XFMR-000058,FDR-0001,SUB-001,33.528003,-112.150943,75,AB,12.47,208,43,GE,active
XFMR-000059,FDR-0001,SUB-001,33.528142,-112.151096,15,A,12.47,120,6,Siemens,active
XFMR-000060,FDR-0001,SUB-001,33.528037,-112.151166,250,A,12.47,208,43,ABB,active
XFMR-000061,FDR-0001,SUB-001,33.528214,-112.151281,10,C,12.47,208,23,ABB,active
XFMR-000062,FDR-0001,SUB-001,33.528148,-112.151475,37.5,ABC,12.47,120,23,Howard Industries,active
XFMR-000063,FDR-0001,SUB-001,33.528039,-112.151549,100,ABC,12.47,120,39,Prolec,active
XFMR-000064,FDR-0001,SUB-001,33.52799,-112.151727,50,AC,12.47,208,22,GE,failed
XFMR-000065,FDR-0001,SUB-001,33.528214,-112.151795,15,B,12.47,120,6,Prolec,active
XFMR-000066,FDR-0001,SUB-001,33.528165,-112.151973,75,B,12.47,208,20,Prolec,active
XFMR-000067,FDR-0001,SUB-001,33.528057,-112.152045,10,B,12.47,240,40,ABB,active
XFMR-000068,FDR-0001,SUB-001,33.528154,-112.15224,167,BC,12.47,480,27,GE,active
XFMR-000069,FDR-0001,SUB-001,33.528178,-112.152345,100,A,12.47,208,44,Prolec,active
XFMR-000070,FDR-0001,SUB-001,33.52818,-112.152472,10,B,12.47,480,39,ABB,failed
XFMR-000071,FDR-0001,SUB-001,33.527993,-112.152623,25,ABC,12.47,208,19,GE,active
