transformer_id,inspection_date,work_order_id,inspection_type,condition_before,condition_after
XFMR-016707,2020-03-10 18:36:36.047389,WO-000001,routine,4,4
XFMR-006425,2017-11-16 18:36:36.047469,WO-000002,routine,4,4
XFMR-006425,2023-12-31 18:36:36.047487,WO-000003,routine,5,4
XFMR-006425,2018-05-06 18:36:36.047501,WO-000004,preventive,4,4
XFMR-010506,2021-11-04 18:36:36.047527,WO-000005,routine,4,4
XFMR-010506,2018-10-18 18:36:36.047540,WO-000006,routine,5,4
XFMR-013189,2025-08-10 18:36:36.047564,WO-000007,routine,5,5
XFMR-010657,2016-09-18 18:36:36.047587,WO-000008,routine,5,5
XFMR-010657,2022-03-03 18:36:36.047599,WO-000009,preventive,5,5
XFMR-010657,2024-06-22 18:36:36.047610,WO-000010,routine,5,5
XFMR-009956,2019-08-08 18:36:36.047631,WO-000011,routine,2,3
XFMR-009956,2025-02-14 18:36:36.047643,WO-000012,routine,3,3
XFMR-016989,2018-03-28 18:36:36.047663,WO-000013,preventive,5,4
XFMR-009086,2025-01-03 18:36:36.047684,WO-000014,emergency,1,2
XFMR-009086,2016-07-14 18:36:36.047696,WO-000015,routine,2,2
XFMR-009357,2016-04-29 18:36:36.047716,WO-000016,preventive,5,4
XFMR-009357,2023-08-14 18:36:36.047727,WO-000017,routine,3,4
XFMR-006101,2018-08-03 18:36:36.047748,WO-000018,routine,5,4
XFMR-006101,2018-10-27 18:36:36.047759,WO-000019,routine,3,4
XFMR-017090,2021-02-22 18:36:36.047849,WO-000020,routine,5,5
XFMR-017090,2019-06-01 18:36:36.047861,WO-000021,routine,5,5
XFMR-019646,2022-06-15 18:36:36.047884,WO-000022,routine,3,4
XFMR-019646,2023-04-22 18:36:36.047895,WO-000023,preventive,4,4
XFMR-018421,2022-04-01 18:36:36.047917,WO-000024,routine,3,3
XFMR-018421,2018-05-22 18:36:36.047927,WO-000025,routine,3,3
XFMR-018421,2020-03-03 18:36:36.047937,WO-000026,routine,2,3
XFMR-006224,2020-05-24 18:36:36.047958,WO-000027,routine,1,2
XFMR-020610,2019-08-18 18:36:36.047979,WO-000028,routine,3,4
XFMR-020610,2022-10-12 18:36:36.047989,WO-000029,emergency,4,4
XFMR-020610,2017-05-22 18:36:36.048000,WO-000030,routine,3,4
XFMR-009688,2018-09-07 18:36:36.048020,WO-000031,preventive,2,3
XFMR-009688,2022-12-14 18:36:36.048031,WO-000032,routine,4,3
XFMR-009688,2019-08-17 18:36:36.048041,WO-000033,routine,3,3
XFMR-017642,2024-08-12 18:36:36.048062,WO-000034,routine,3,3
XFMR-004388,2022-08-11 18:36:36.048083,WO-000035,routine,3,2
XFMR-004388,2019-04-03 18:36:36.048094,WO-000036,preventive,1,2
XFMR-004388,2022-01-12 18:36:36.048104,WO-000037,routine,1,2
XFMR-001863,2016-03-10 18:36:36.048124,WO-000038,routine,1,1
XFMR-001863,2016-05-10 18:36:36.048135,WO-000039,routine,2,1
XFMR-001863,2016-11-10 18:36:36.048145,WO-000040,emergency,1,1
XFMR-009399,2016-03-26 18:36:36.048165,WO-000041,routine,3,3
XFMR-012879,2024-04-09 18:36:36.048185,WO-000042,routine,2,2
XFMR-012879,2018-02-02 18:36:36.048196,WO-000043,emergency,3,2
XFMR-014517,2016-08-03 18:36:36.048215,WO-000044,routine,4,4
XFMR-014517,2016-07-04 18:36:36.048226,WO-000045,emergency,3,4
XFMR-014517,2023-05-09 18:36:36.048236,WO-000046,routine,4,4
XFMR-019295,2018-01-13 18:36:36.048256,WO-000047,routine,4,5
XFMR-019295,2023-11-23 18:36:36.048267,WO-000048,routine,5,5
XFMR-006693,2024-07-31 18:36:36.048286,WO-000049,routine,3,3
XFMR-014896,2021-06-18 18:36:36.048307,WO-000050,routine,1,1
XFMR-018699,2019-11-18 18:36:36.048327,WO-000051,routine,2,2
XFMR-018699,2026-01-03 18:36:36.048338,WO-000052,routine,3,2
XFMR-018699,2021-08-14 18:36:36.048348,WO-000053,preventive,2,2
XFMR-018925,2022-06-27 18:36:36.048368,WO-000054,routine,1,2
XFMR-008268,2021-08-28 18:36:36.048388,WO-000055,routine,4,3
XFMR-008268,2020-09-14 18:36:36.048399,WO-000056,routine,2,3
XFMR-008268,2020-11-24 18:36:36.048408,WO-000057,emergency,2,3
XFMR-014958,2021-12-02 18:36:36.048428,WO-000058,preventive,5,5
XFMR-014958,2024-10-11 18:36:36.048439,WO-000059,emergency,4,5
XFMR-015937,2024-07-17 18:36:36.048458,WO-000060,routine,4,5
XFMR-015937,2024-08-27 18:36:36.048469,WO-000061,routine,5,5
XFMR-015937,2023-01-17 18:36:36.048479,WO-000062,routine,5,5
XFMR-002309,2017-03-25 18:36:36.048498,WO-000063,routine,1,1
XFMR-002309,2022-03-07 18:36:36.048509,WO-000064,routine,2,1
XFMR-010280,2018-07-08 18:36:36.048529,WO-000065,routine,2,2
XFMR-010280,2025-09-26 18:36:36.048539,WO-000066,routine,2,2
XFMR-008319,2016-07-10 18:36:36.048559,WO-000067,preventive,2,1
XFMR-008319,2017-06-10 18:36:36.048570,WO-000068,routine,1,1
XFMR-008319,2024-01-14 18:36:36.048580,WO-000069,routine,1,1
XFMR-010481,2022-07-07 18:36:36.048599,WO-000070,routine,3,2
XFMR-010481,2022-09-30 18:36:36.048610,WO-000071,routine,2,2
XFMR-019742,2018-12-23 18:36:36.048629,WO-000072,preventive,3,3
XFMR-019742,2018-05-19 18:36:36.048640,WO-000073,routine,3,3
XFMR-007278,2024-03-23 18:36:36.048660,WO-000074,emergency,3,3
XFMR-016671,2021-03-21 18:36:36.048679,WO-000075,routine,1,2
XFMR-018069,2022-06-26 18:36:36.048700,WO-000076,routine,2,3
XFMR-018069,2020-08-06 18:36:36.048710,WO-000077,routine,2,3
XFMR-018041,2024-09-25 18:36:36.048730,WO-000078,preventive,2,2
XFMR-018041,2019-09-16 18:36:36.048741,WO-000079,preventive,3,2
XFMR-003266,2023-12-22 18:36:36.048760,WO-000080,preventive,3,2
XFMR-003266,2018-08-21 18:36:36.048771,WO-000081,preventive,2,2
XFMR-003266,2023-08-28 18:36:36.048781,WO-000082,emergency,2,2
XFMR-002944,2021-07-24 18:36:36.048800,WO-000083,preventive,1,2
XFMR-002944,2017-09-26 18:36:36.048811,WO-000084,emergency,3,2
XFMR-002944,2024-02-08 18:36:36.048821,WO-000085,routine,3,2
XFMR-011753,2023-11-29 18:36:36.048840,WO-000086,preventive,1,2
XFMR-011753,2021-12-07 18:36:36.048851,WO-000087,routine,3,2
XFMR-011753,2020-11-23 18:36:36.048861,WO-000088,routine,3,2
XFMR-011290,2016-06-11 18:36:36.048880,WO-000089,routine,5,4
XFMR-011290,2022-07-15 18:36:36.048890,WO-000090,preventive,3,4
XFMR-014706,2022-04-03 18:36:36.048910,WO-000091,routine,4,4
XFMR-014706,2017-01-02 18:36:36.048920,WO-000092,emergency,4,4
XFMR-014706,2023-04-15 18:36:36.048930,WO-000093,routine,3,4
XFMR-007890,2017-08-12 18:36:36.048950,WO-000094,preventive,5,4
XFMR-007890,2016-03-02 18:36:36.048961,WO-000095,routine,4,4
XFMR-007554,2018-03-07 18:36:36.048980,WO-000096,routine,5,5
XFMR-008050,2020-07-15 18:36:36.049000,WO-000097,routine,1,1
XFMR-019698,2020-10-12 18:36:36.049020,WO-000098,preventive,3,3
XFMR-019698,2025-09-16 18:36:36.049031,WO-000099,routine,4,3
XFMR-019698,2020-02-28 18:36:36.049041,WO-000100,routine,4,3
XFMR-001600,2020-07-24 18:36:36.049060,WO-000101,routine,2,3
XFMR-001600,2019-06-07 18:36:36.049071,WO-000102,preventive,2,3
