transformer_id,feeder_id,kva_rating,install_year,manufacturer,type,health_index,condition_score,age_years
XFMR-000001,FDR-0001,500.0,1984,Eaton,oil,2,42,41
XFMR-000002,FDR-0001,37.5,2004,Howard Industries,oil,4,78,21
XFMR-000003,FDR-0001,25.0,2020,Siemens,dry,4,72,5
XFMR-000004,FDR-0001,10.0,2000,Howard Industries,dry,3,65,25
XFMR-000005,FDR-0001,167.0,2005,Siemens,oil,2,51,20
XFMR-000006,FDR-0001,250.0,1993,Eaton,oil,1,17,32
XFMR-000007,FDR-0001,75.0,2014,Siemens,oil,3,75,11
XFMR-000008,FDR-0001,100.0,2019,Prolec,oil,4,76,6
XFMR-000009,FDR-0001,10.0,2004,Eaton,oil,3,74,21
XFMR-000010,FDR-0001,50.0,2008,ABB,oil,3,72,17
XFMR-000011,FDR-0001,75.0,1983,ABB,oil,1,26,42
XFMR-000012,FDR-0001,10.0,2009,Eaton,oil,4,85,16
XFMR-000013,FDR-0001,167.0,2001,Eaton,oil,3,70,24
XFMR-000014,FDR-0001,25.0,1987,ABB,oil,2,51,38
XFMR-000015,FDR-0001,100.0,2020,Howard Industries,oil,3,67,5
XFMR-000016,FDR-0001,50.0,1988,ABB,oil,1,25,37
XFMR-000017,FDR-0001,15.0,2024,Siemens,dry,5,99,1
XFMR-000018,FDR-0001,500.0,2015,Siemens,oil,4,71,10
XFMR-000019,FDR-0001,333.0,1995,Siemens,oil,2,49,30
XFMR-000020,FDR-0001,37.5,2007,Siemens,dry,3,53,18
XFMR-000021,FDR-0001,75.0,2004,Eaton,dry,3,54,21
XFMR-000022,FDR-0001,75.0,1989,ABB,dry,1,16,36
XFMR-000023,FDR-0001,100.0,1980,Siemens,oil,1,24,45
XFMR-000024,FDR-0001,15.0,1999,Prolec,dry,3,66,26
XFMR-000025,FDR-0001,167.0,1997,Prolec,oil,3,59,28
XFMR-000026,FDR-0001,50.0,2010,ABB,dry,3,69,15
XFMR-000027,FDR-0001,37.5,2007,Prolec,dry,2,38,18
XFMR-000028,FDR-0001,15.0,2006,Eaton,oil,3,65,19
XFMR-000029,FDR-0001,50.0,1989,GE,dry,2,53,36
XFMR-000030,FDR-0001,15.0,1988,GE,oil,1,12,37
XFMR-000031,FDR-0001,10.0,2017,ABB,dry,4,78,8
XFMR-000032,FDR-0001,25.0,2019,Eaton,oil,3,57,6
XFMR-000033,FDR-0001,250.0,1996,GE,oil,2,52,29
XFMR-000034,FDR-0001,333.0,1985,Prolec,dry,3,56,40
XFMR-000035,FDR-0001,50.0,2014,Eaton,oil,5,85,11
XFMR-000036,FDR-0001,100.0,2006,ABB,oil,3,54,19
XFMR-000037,FDR-0001,15.0,2008,Prolec,oil,3,56,17
XFMR-000038,FDR-0001,100.0,1983,Eaton,oil,1,22,42
XFMR-000039,FDR-0001,10.0,1986,Prolec,dry,2,47,39
XFMR-000040,FDR-0001,15.0,1980,Siemens,oil,1,31,45
XFMR-000041,FDR-0001,167.0,1997,Prolec,oil,2,43,28
XFMR-000042,FDR-0001,37.5,1981,GE,oil,2,47,44
XFMR-000043,FDR-0001,167.0,2007,Eaton,oil,2,32,18
XFMR-000044,FDR-0001,15.0,1998,GE,dry,4,86,27
XFMR-000045,FDR-0001,75.0,2006,Prolec,dry,3,68,19
XFMR-000046,FDR-0001,167.0,2008,GE,dry,3,56,17
XFMR-000047,FDR-0001,500.0,1998,ABB,oil,3,70,27
XFMR-000048,FDR-0001,500.0,2011,GE,oil,4,73,14
XFMR-000049,FDR-0001,167.0,1984,Howard Industries,oil,2,44,41
XFMR-000050,FDR-0001,250.0,2019,Eaton,oil,3,73,6
XFMR-000051,FDR-0001,15.0,1993,Prolec,oil,3,57,32
XFMR-000052,FDR-0001,167.0,1995,Howard Industries,oil,2,45,30
XFMR-000053,FDR-0001,15.0,2003,Howard Industries,dry,4,70,22
XFMR-000054,FDR-0001,333.0,2015,Siemens,oil,4,85,10
XFMR-000055,FDR-0001,167.0,1980,Eaton,oil,1,34,45
XFMR-000056,FDR-0001,10.0,2000,Siemens,oil,4,71,25
XFMR-000057,FDR-0001,167.0,1992,Howard Industries,oil,1,11,33
XFMR-000058,FDR-0001,15.0,2024,Prolec,oil,4,77,1
XFMR-000059,FDR-0001,15.0,2003,Howard Industries,oil,2,41,22
XFMR-000060,FDR-0001,500.0,2004,Prolec,oil,3,60,21
XFMR-000061,FDR-0001,333.0,1984,Prolec,dry,2,35,41
XFMR-000062,FDR-0001,100.0,1996,Eaton,oil,3,68,29
XFMR-000063,FDR-0001,75.0,2006,GE,oil,3,67,19
XFMR-000064,FDR-0001,333.0,2014,Eaton,oil,4,74,11
XFMR-000065,FDR-0001,167.0,2010,Siemens,oil,3,64,15
XFMR-000066,FDR-0001,167.0,2020,Siemens,oil,4,77,5
XFMR-000067,FDR-0001,500.0,1995,GE,oil,1,15,30
XFMR-000068,FDR-0001,15.0,1988,GE,dry,2,41,37
XFMR-000069,FDR-0001,10.0,2007,ABB,oil,2,48,18
XFMR-000070,FDR-0001,333.0,2006,Eaton,oil,4,81,19
XFMR-000071,FDR-0001,333.0,1984,ABB,oil,2,41,41
XFMR-000072,FDR-0001,167.0,2016,ABB,oil,3,58,9
XFMR-000073,FDR-0001,25.0,1990,GE,oil,1,33,35
XFMR-000074,FDR-0001,50.0,2006,Prolec,oil,3,59,19
XFMR-000075,FDR-0001,15.0,1981,Prolec,oil,2,51,44
XFMR-000076,FDR-0001,15.0,2024,GE,oil,5,85,1
XFMR-000077,FDR-0001,333.0,2018,Prolec,oil,4,87,7
XFMR-000078,FDR-0001,333.0,1984,Siemens,oil,1,25,41
XFMR-000079,FDR-0001,15.0,2022,GE,oil,5,88,3
XFMR-000080,FDR-0001,250.0,1995,GE,dry,1,27,30
XFMR-000081,FDR-0001,333.0,1998,Prolec,oil,3,52,27
