unit_mw,unit_pct,fw_flow_tph,fw_temp_c,bfp_dp_bar,bfp_power_kw,hp_drum_press_barg
90.0,30,90.0,169.0,176.8,884.0,116.4
105.0,35,93.9,170.5,176.6,921.0,117.3
120.0,40,105.6,172.0,175.7,1031.0,118.3
135.0,45,117.4,173.5,174.6,1114.0,119.3
150.0,50,129.3,175.0,173.5,1118.0,120.2
165.0,55,141.3,176.5,172.2,1127.0,121.2
180.0,60,153.2,178.0,170.9,1140.0,122.2
195.0,65,165.2,179.5,169.4,1156.0,123.2
210.0,70,177.3,181.0,167.8,1176.0,124.1
225.0,75,189.3,182.5,166.1,1198.0,125.1
240.0,80,201.4,184.0,164.2,1223.0,126.1
255.0,85,213.5,185.5,162.3,1251.0,127.1
270.0,90,225.7,187.0,160.2,1282.0,128.1
285.0,95,237.8,188.5,158.0,1316.0,129.0
300.0,100,250.0,190.0,155.7,1354.0,130.0
