flow_tph,flow_pct_bep,head_bar,efficiency_pct,power_kw,npsh_required_m
0.0,0,180.0,0,0,8.0
13.0,5,179.9,50.0,130.0,8.0
26.0,10,179.7,50.0,260.0,8.1
39.0,15,179.4,50.0,389.0,8.3
52.0,20,178.9,50.0,517.0,8.5
65.0,25,178.4,50.0,644.0,8.7
78.0,30,177.6,50.0,770.0,9.0
91.0,35,176.8,50.0,894.0,9.4
104.0,40,175.8,50.0,1016.0,9.8
117.0,45,174.7,51.0,1114.0,10.3
130.0,50,173.4,56.0,1118.0,10.8
143.0,55,172.0,60.6,1128.0,11.4
156.0,60,170.5,64.6,1143.0,12.1
169.0,65,168.9,68.2,1162.0,12.8
182.0,70,167.1,71.4,1184.0,13.5
195.0,75,165.2,74.0,1209.0,14.3
208.0,80,163.2,76.2,1238.0,15.2
221.0,85,161.0,77.8,1270.0,16.1
234.0,90,158.7,79.0,1305.0,17.1
247.0,95,156.3,79.8,1345.0,18.2
260.0,100,153.7,80.0,1388.0,19.3
273.0,105,151.0,79.8,1436.0,20.4
286.0,110,148.2,79.0,1490.0,21.6
299.0,115,145.2,77.8,1549.0,22.9
312.0,120,142.1,76.2,1617.0,24.2
325.0,125,138.9,74.0,1695.0,25.6
338.0,130,135.6,71.4,1784.0,27.0
