bus_name,voltage_pu,violation
bus_fuse-xfmr-000001,0.8206,under
bus_xfmr-000001,0.8206,under
bus_fuse-xfmr-000002,0.8206,under
bus_xfmr-000002,0.8206,under
bus_fuse-xfmr-000003,0.8206,under
bus_xfmr-000003,0.8206,under
bus_fuse-xfmr-000004,0.9345,under
bus_xfmr-000004,0.9345,under
bus_fuse-xfmr-000005,0.9345,under
bus_xfmr-000005,0.9345,under
bus_fuse-xfmr-000006,0.9345,under
bus_xfmr-000006,0.9345,under
bus_fuse-xfmr-000007,0.9345,under
bus_xfmr-000007,0.9345,under
bus_fuse-xfmr-000008,0.8206,under
bus_xfmr-000008,0.8205,under
bus_fuse-xfmr-000010,0.9345,under
bus_xfmr-000010,0.9345,under
bus_fuse-xfmr-000011,0.8206,under
bus_xfmr-000011,0.8205,under
bus_fuse-xfmr-000012,0.8206,under
bus_xfmr-000012,0.8206,under
bus_fuse-xfmr-000013,0.9345,under
bus_xfmr-000013,0.9346,under
bus_fuse-xfmr-000014,0.9347,under
bus_xfmr-000014,0.9359,under
bus_fuse-xfmr-000015,0.8207,under
bus_xfmr-000015,0.8209,under
bus_fuse-xfmr-000016,0.9345,under
bus_xfmr-000016,0.9345,under
bus_fuse-xfmr-000017,0.8207,under
bus_xfmr-000017,0.821,under
bus_fuse-xfmr-000018,0.8206,under
bus_xfmr-000018,0.8207,under
bus_fuse-xfmr-000019,0.8206,under
bus_xfmr-000019,0.8206,under
bus_fuse-xfmr-000020,0.9345,under
bus_xfmr-000020,0.9346,under
bus_fuse-xfmr-000021,0.9345,under
bus_xfmr-000021,0.9345,under
bus_fuse-xfmr-000023,0.8206,under
bus_xfmr-000023,0.8205,under
bus_fuse-xfmr-000024,0.8206,under
bus_xfmr-000024,0.8205,under
bus_fuse-xfmr-000026,0.9345,under
bus_xfmr-000026,0.9343,under
bus_fuse-xfmr-000027,0.9345,under
bus_xfmr-000027,0.9346,under
bus_fuse-xfmr-000028,0.8206,under
bus_xfmr-000028,0.8204,under
bus_fuse-xfmr-000029,0.9345,under
bus_xfmr-000029,0.9343,under
bus_fuse-xfmr-000030,0.8206,under
bus_xfmr-000030,0.8206,under
bus_fuse-xfmr-000032,0.9345,under
bus_xfmr-000032,0.9343,under
bus_fuse-xfmr-000033,0.8205,under
bus_xfmr-000033,0.8198,under
bus_fuse-xfmr-000034,0.8206,under
bus_xfmr-000034,0.8203,under
bus_fuse-xfmr-000035,0.8206,under
bus_xfmr-000035,0.8206,under
bus_fuse-xfmr-000037,0.8207,under
bus_xfmr-000037,0.8208,under
bus_fuse-xfmr-000039,0.9345,under
bus_xfmr-000039,0.9344,under
bus_fuse-xfmr-000040,0.8205,under
bus_xfmr-000040,0.82,under
bus_fuse-xfmr-000041,0.8206,under
bus_xfmr-000041,0.8206,under
bus_fuse-xfmr-000042,0.8206,under
bus_xfmr-000042,0.8201,under
bus_fuse-xfmr-000043,0.9345,under
bus_xfmr-000043,0.9343,under
bus_fuse-xfmr-000044,0.8206,under
bus_xfmr-000044,0.8205,under
bus_fuse-xfmr-000045,0.9345,under
bus_xfmr-000045,0.9346,under
bus_fuse-xfmr-000048,0.7973,under
bus_xfmr-000048,0.7973,under
bus_fuse-xfmr-000049,0.7973,under
bus_xfmr-000049,0.7973,under
bus_fuse-xfmr-000051,0.9229,under
bus_xfmr-000051,0.9229,under
bus_fuse-xfmr-000052,0.9229,under
bus_xfmr-000052,0.9228,under
bus_fuse-xfmr-000053,0.9229,under
bus_xfmr-000053,0.9229,under
bus_fuse-xfmr-000054,0.9229,under
bus_xfmr-000054,0.9229,under
bus_fuse-xfmr-000055,0.9229,under
bus_xfmr-000055,0.9229,under
bus_fuse-xfmr-000057,0.9229,under
bus_xfmr-000057,0.9229,under
bus_fuse-xfmr-000058,0.9229,under
bus_xfmr-000058,0.9229,under
bus_fuse-xfmr-000059,0.7973,under
bus_xfmr-000059,0.7973,under
bus_fuse-xfmr-000060,0.7973,under
bus_xfmr-000060,0.7973,under
bus_fuse-xfmr-000061,0.7973,under
bus_xfmr-000061,0.7972,under
bus_fuse-xfmr-000064,0.9229,under
bus_xfmr-000064,0.9229,under
bus_fuse-xfmr-000065,0.7973,under
bus_xfmr-000065,0.7974,under
bus_fuse-xfmr-000066,0.7973,under
bus_xfmr-000066,0.7972,under
bus_fuse-xfmr-000067,0.7973,under
bus_xfmr-000067,0.7973,under
bus_fuse-xfmr-000068,0.9229,under
bus_xfmr-000068,0.9228,under
bus_fuse-xfmr-000069,0.7973,under
bus_xfmr-000069,0.7973,under
bus_fuse-xfmr-000070,0.7973,under
bus_xfmr-000070,0.7973,under
bus_fuse-xfmr-000072,0.7973,under
bus_xfmr-000072,0.7973,under
bus_fuse-xfmr-000073,0.9229,under
bus_xfmr-000073,0.9229,under
bus_fuse-xfmr-000074,0.9228,under
bus_xfmr-000074,0.9226,under
bus_fuse-xfmr-000076,0.9229,under
bus_xfmr-000076,0.9228,under
bus_fuse-xfmr-000077,0.7972,under
bus_xfmr-000077,0.7969,under
bus_fuse-xfmr-000078,0.7973,under
bus_xfmr-000078,0.7973,under
bus_fuse-xfmr-000079,0.8002,under
bus_xfmr-000079,0.8164,under
bus_fuse-xfmr-000080,0.9228,under
bus_xfmr-000080,0.9224,under
bus_fuse-xfmr-000081,0.797,under
bus_xfmr-000081,0.7953,under
bus_fuse-xfmr-000082,0.7972,under
bus_xfmr-000082,0.7967,under
bus_fuse-xfmr-000083,0.924,under
bus_xfmr-000083,0.9305,under
bus_fuse-xfmr-000085,0.7973,under
bus_xfmr-000085,0.7973,under
bus_fuse-xfmr-000086,0.9228,under
bus_xfmr-000086,0.9227,under
bus_fuse-xfmr-000087,0.9228,under
bus_xfmr-000087,0.9224,under
bus_fuse-xfmr-000088,0.7973,under
bus_xfmr-000088,0.7972,under
bus_fuse-xfmr-000089,0.923,under
bus_xfmr-000089,0.9235,under
bus_fuse-xfmr-000091,0.9127,under
bus_xfmr-000091,0.9127,under
bus_fuse-xfmr-000093,0.9127,under
bus_xfmr-000093,0.9127,under
bus_fuse-xfmr-000094,0.7766,under
bus_xfmr-000094,0.7766,under
bus_fuse-xfmr-000095,0.9127,under
bus_xfmr-000095,0.9127,under
bus_fuse-xfmr-000096,0.7766,under
bus_xfmr-000096,0.7769,under
bus_fuse-xfmr-000098,0.7766,under
bus_xfmr-000098,0.7764,under
bus_fuse-xfmr-000100,0.7766,under
bus_xfmr-000100,0.7765,under
bus_fuse-xfmr-000101,0.7766,under
bus_xfmr-000101,0.7763,under
bus_fuse-xfmr-000102,0.7766,under
bus_xfmr-000102,0.7766,under
bus_fuse-xfmr-000103,0.9127,under
bus_xfmr-000103,0.9126,under
bus_fuse-xfmr-000105,0.7766,under
bus_xfmr-000105,0.7766,under
bus_fuse-xfmr-000106,0.7766,under
bus_xfmr-000106,0.7766,under
bus_fuse-xfmr-000107,0.9127,under
bus_xfmr-000107,0.9126,under
bus_fuse-xfmr-000110,0.7766,under
bus_xfmr-000110,0.7766,under
bus_fuse-xfmr-000111,0.9127,under
bus_xfmr-000111,0.9129,under
bus_fuse-xfmr-000112,0.7764,under
bus_xfmr-000112,0.7756,under
bus_fuse-xfmr-000113,0.9127,under
bus_xfmr-000113,0.9126,under
bus_fuse-xfmr-000114,0.7766,under
bus_xfmr-000114,0.7764,under
bus_fuse-xfmr-000115,0.7766,under
bus_xfmr-000115,0.777,under
bus_fuse-xfmr-000116,0.9127,under
bus_xfmr-000116,0.9127,under
bus_fuse-xfmr-000117,0.7766,under
bus_xfmr-000117,0.7766,under
bus_fuse-xfmr-000118,0.9127,under
bus_xfmr-000118,0.9127,under
bus_fuse-xfmr-000119,0.9126,under
bus_xfmr-000119,0.9124,under
bus_fuse-xfmr-000121,0.7766,under
bus_xfmr-000121,0.7766,under
bus_fuse-xfmr-000122,0.7765,under
bus_xfmr-000122,0.776,under
bus_fuse-xfmr-000123,0.7765,under
bus_xfmr-000123,0.7761,under
bus_fuse-xfmr-000124,0.9127,under
bus_xfmr-000124,0.9127,under
bus_fuse-xfmr-000125,0.9127,under
bus_xfmr-000125,0.9127,under
bus_fuse-xfmr-000126,0.7766,under
bus_xfmr-000126,0.7763,under
bus_fuse-xfmr-000127,0.9127,under
bus_xfmr-000127,0.9126,under
bus_fuse-xfmr-000128,0.9127,under
bus_xfmr-000128,0.9127,under
bus_fuse-xfmr-000129,0.7766,under
bus_xfmr-000129,0.7768,under
bus_fuse-xfmr-000130,0.9126,under
bus_xfmr-000130,0.9125,under
bus_fuse-xfmr-000131,0.7767,under
bus_xfmr-000131,0.7774,under
bus_fuse-xfmr-000132,0.9126,under
bus_xfmr-000132,0.9124,under
bus_fuse-xfmr-000133,0.7768,under
bus_xfmr-000133,0.7783,under
bus_fuse-xfmr-000134,0.9127,under
bus_xfmr-000134,0.9127,under
bus_fuse-xfmr-000135,0.9127,under
bus_xfmr-000135,0.9127,under
bus_fuse-xfmr-000137,0.904,under
bus_xfmr-000137,0.904,under
bus_fuse-xfmr-000138,0.904,under
bus_xfmr-000138,0.904,under
bus_fuse-xfmr-000139,0.7591,under
bus_xfmr-000139,0.759,under
bus_fuse-xfmr-000140,0.7591,under
bus_xfmr-000140,0.7592,under
bus_fuse-xfmr-000141,0.904,under
bus_xfmr-000141,0.904,under
bus_fuse-xfmr-000143,0.904,under
bus_xfmr-000143,0.904,under
bus_fuse-xfmr-000144,0.904,under
bus_xfmr-000144,0.9041,under
bus_fuse-xfmr-000146,0.904,under
bus_xfmr-000146,0.904,under
bus_fuse-xfmr-000147,0.904,under
bus_xfmr-000147,0.904,under
bus_fuse-xfmr-000148,0.904,under
bus_xfmr-000148,0.9041,under
bus_fuse-xfmr-000149,0.7591,under
bus_xfmr-000149,0.759,under
bus_fuse-xfmr-000150,0.7591,under
bus_xfmr-000150,0.7591,under
bus_fuse-xfmr-000151,0.904,under
bus_xfmr-000151,0.904,under
bus_fuse-xfmr-000152,0.759,under
bus_xfmr-000152,0.7586,under
bus_fuse-xfmr-000153,0.759,under
bus_xfmr-000153,0.7587,under
bus_fuse-xfmr-000154,0.904,under
bus_xfmr-000154,0.9039,under
bus_fuse-xfmr-000155,0.904,under
bus_xfmr-000155,0.904,under
bus_fuse-xfmr-000156,0.7591,under
bus_xfmr-000156,0.7592,under
bus_fuse-xfmr-000158,0.9043,under
bus_xfmr-000158,0.9058,under
bus_fuse-xfmr-000160,0.7591,under
bus_xfmr-000160,0.7592,under
bus_fuse-xfmr-000163,0.904,under
bus_xfmr-000163,0.9039,under
bus_fuse-xfmr-000164,0.759,under
bus_xfmr-000164,0.7585,under
bus_fuse-xfmr-000165,0.7591,under
bus_xfmr-000165,0.7593,under
bus_fuse-xfmr-000166,0.904,under
bus_xfmr-000166,0.904,under
bus_fuse-xfmr-000167,0.759,under
bus_xfmr-000167,0.7584,under
bus_fuse-xfmr-000168,0.904,under
bus_xfmr-000168,0.9036,under
bus_fuse-xfmr-000170,0.7591,under
bus_xfmr-000170,0.7591,under
bus_fuse-xfmr-000171,0.904,under
bus_xfmr-000171,0.9041,under
bus_fuse-xfmr-000172,0.7591,under
bus_xfmr-000172,0.7592,under
bus_fuse-xfmr-000173,0.904,under
bus_xfmr-000173,0.9039,under
bus_fuse-xfmr-000174,0.759,under
bus_xfmr-000174,0.7584,under
bus_fuse-xfmr-000175,0.7591,under
bus_xfmr-000175,0.7591,under
bus_fuse-xfmr-000176,0.904,under
bus_xfmr-000176,0.9039,under
bus_fuse-xfmr-000177,0.759,under
bus_xfmr-000177,0.7588,under
bus_fuse-xfmr-000178,0.904,under
bus_xfmr-000178,0.9041,under
bus_fuse-xfmr-000179,0.904,under
bus_xfmr-000179,0.9041,under
bus_fuse-xfmr-000180,0.9039,under
bus_xfmr-000180,0.9033,under
bus_jct-fdr-0001-005,0.9489,under
bus_fuse-xfmr-000181,0.9489,under
bus_xfmr-000181,0.949,under
bus_fuse-xfmr-000182,0.898,under
bus_xfmr-000182,0.898,under
bus_fuse-xfmr-000183,0.747,under
bus_xfmr-000183,0.7471,under
bus_fuse-xfmr-000184,0.898,under
bus_xfmr-000184,0.898,under
bus_fuse-xfmr-000185,0.898,under
bus_xfmr-000185,0.898,under
bus_fuse-xfmr-000186,0.747,under
bus_xfmr-000186,0.747,under
bus_fuse-xfmr-000187,0.898,under
bus_xfmr-000187,0.8981,under
