bus_name,voltage_pu,violation
bus_sub-001,0.9468,under
bus_fdr-0001-head,0.9465,under
bus_jct-fdr-0001-001,0.9461,under
bus_fuse-xfmr-000001,0.7529,under
bus_xfmr-000001,0.7528,under
bus_fuse-xfmr-000002,0.7529,under
bus_xfmr-000002,0.7529,under
bus_fuse-xfmr-000003,0.7529,under
bus_xfmr-000003,0.7529,under
bus_fuse-xfmr-000004,0.8984,under
bus_xfmr-000004,0.8984,under
bus_fuse-xfmr-000005,0.8984,under
bus_xfmr-000005,0.8984,under
bus_fuse-xfmr-000006,0.8984,under
bus_xfmr-000006,0.8984,under
bus_fuse-xfmr-000007,0.8984,under
bus_xfmr-000007,0.8982,under
bus_fuse-xfmr-000008,0.7529,under
bus_xfmr-000008,0.7528,under
bus_fuse-xfmr-000009,0.9461,under
bus_xfmr-000009,0.9461,under
bus_fuse-xfmr-000010,0.8984,under
bus_xfmr-000010,0.8984,under
bus_fuse-xfmr-000011,0.7529,under
bus_xfmr-000011,0.7528,under
bus_fuse-xfmr-000012,0.7529,under
bus_xfmr-000012,0.7529,under
bus_fuse-xfmr-000013,0.8984,under
bus_xfmr-000013,0.8984,under
bus_fuse-xfmr-000014,0.8986,under
bus_xfmr-000014,0.8998,under
bus_fuse-xfmr-000015,0.7529,under
bus_xfmr-000015,0.7531,under
bus_fuse-xfmr-000016,0.8984,under
bus_xfmr-000016,0.8982,under
bus_fuse-xfmr-000017,0.753,under
bus_xfmr-000017,0.7536,under
bus_fuse-xfmr-000018,0.7529,under
bus_xfmr-000018,0.7529,under
bus_fuse-xfmr-000019,0.7529,under
bus_xfmr-000019,0.7528,under
bus_fuse-xfmr-000020,0.8984,under
bus_xfmr-000020,0.8985,under
bus_fuse-xfmr-000021,0.8984,under
bus_xfmr-000021,0.8983,under
bus_fuse-xfmr-000022,0.9461,under
bus_xfmr-000022,0.946,under
bus_fuse-xfmr-000023,0.7529,under
bus_xfmr-000023,0.7527,under
bus_fuse-xfmr-000024,0.7529,under
bus_xfmr-000024,0.7528,under
bus_fuse-xfmr-000025,0.9461,under
bus_xfmr-000025,0.9461,under
bus_fuse-xfmr-000026,0.8984,under
bus_xfmr-000026,0.8982,under
bus_fuse-xfmr-000027,0.8984,under
bus_xfmr-000027,0.8985,under
bus_fuse-xfmr-000028,0.7529,under
bus_xfmr-000028,0.7527,under
bus_fuse-xfmr-000029,0.8983,under
bus_xfmr-000029,0.8976,under
bus_fuse-xfmr-000030,0.7529,under
bus_xfmr-000030,0.7529,under
bus_fuse-xfmr-000031,0.9461,under
bus_xfmr-000031,0.9461,under
bus_fuse-xfmr-000032,0.8984,under
bus_xfmr-000032,0.8982,under
bus_fuse-xfmr-000033,0.7528,under
bus_xfmr-000033,0.7521,under
bus_fuse-xfmr-000034,0.7527,under
bus_xfmr-000034,0.7519,under
bus_fuse-xfmr-000035,0.7529,under
bus_xfmr-000035,0.7528,under
bus_fuse-xfmr-000036,0.9461,under
bus_xfmr-000036,0.9462,under
bus_fuse-xfmr-000037,0.7527,under
bus_xfmr-000037,0.7519,under
bus_fuse-xfmr-000038,0.9461,under
bus_xfmr-000038,0.9461,under
bus_fuse-xfmr-000039,0.8983,under
bus_xfmr-000039,0.898,under
bus_fuse-xfmr-000040,0.7528,under
bus_xfmr-000040,0.7523,under
bus_fuse-xfmr-000041,0.7529,under
bus_xfmr-000041,0.7527,under
bus_fuse-xfmr-000042,0.7528,under
bus_xfmr-000042,0.7525,under
bus_fuse-xfmr-000043,0.8984,under
bus_xfmr-000043,0.8982,under
bus_fuse-xfmr-000044,0.7529,under
bus_xfmr-000044,0.7527,under
bus_fuse-xfmr-000045,0.8984,under
bus_xfmr-000045,0.8984,under
bus_jct-fdr-0001-002,0.9348,under
bus_fuse-xfmr-000046,0.9348,under
bus_xfmr-000046,0.9349,under
bus_fuse-xfmr-000047,0.9348,under
bus_xfmr-000047,0.9348,under
bus_fuse-xfmr-000048,0.7145,under
bus_xfmr-000048,0.7144,under
bus_fuse-xfmr-000049,0.7145,under
bus_xfmr-000049,0.7145,under
bus_fuse-xfmr-000050,0.9348,under
bus_xfmr-000050,0.9348,under
bus_fuse-xfmr-000051,0.8796,under
bus_xfmr-000051,0.8796,under
bus_fuse-xfmr-000052,0.8796,under
bus_xfmr-000052,0.8795,under
bus_fuse-xfmr-000053,0.8796,under
bus_xfmr-000053,0.8796,under
bus_fuse-xfmr-000054,0.8796,under
bus_xfmr-000054,0.8796,under
bus_fuse-xfmr-000055,0.8795,under
bus_xfmr-000055,0.8794,under
bus_fuse-xfmr-000056,0.9348,under
bus_xfmr-000056,0.9348,under
bus_fuse-xfmr-000057,0.8796,under
bus_xfmr-000057,0.8796,under
bus_fuse-xfmr-000058,0.8796,under
bus_xfmr-000058,0.8796,under
bus_fuse-xfmr-000059,0.7145,under
bus_xfmr-000059,0.7145,under
bus_fuse-xfmr-000060,0.7145,under
bus_xfmr-000060,0.7145,under
bus_fuse-xfmr-000061,0.7145,under
bus_xfmr-000061,0.7143,under
bus_fuse-xfmr-000062,0.9349,under
bus_xfmr-000062,0.9349,under
bus_fuse-xfmr-000063,0.9348,under
bus_xfmr-000063,0.9348,under
bus_fuse-xfmr-000064,0.8795,under
bus_xfmr-000064,0.8794,under
bus_fuse-xfmr-000065,0.7145,under
bus_xfmr-000065,0.7143,under
bus_fuse-xfmr-000066,0.7144,under
bus_xfmr-000066,0.7137,under
bus_fuse-xfmr-000067,0.7145,under
bus_xfmr-000067,0.7143,under
bus_fuse-xfmr-000068,0.8795,under
bus_xfmr-000068,0.8793,under
bus_fuse-xfmr-000069,0.7145,under
bus_xfmr-000069,0.7145,under
bus_fuse-xfmr-000070,0.7145,under
bus_xfmr-000070,0.7145,under
bus_fuse-xfmr-000071,0.9348,under
bus_xfmr-000071,0.9348,under
bus_fuse-xfmr-000072,0.7145,under
bus_xfmr-000072,0.7144,under
bus_fuse-xfmr-000073,0.8796,under
bus_xfmr-000073,0.8796,under
bus_fuse-xfmr-000074,0.8795,under
bus_xfmr-000074,0.8793,under
bus_fuse-xfmr-000075,0.9349,under
bus_xfmr-000075,0.9349,under
bus_fuse-xfmr-000076,0.8795,under
bus_xfmr-000076,0.8792,under
bus_fuse-xfmr-000077,0.7142,under
bus_xfmr-000077,0.7127,under
bus_fuse-xfmr-000078,0.7145,under
bus_xfmr-000078,0.7146,under
bus_fuse-xfmr-000079,0.7168,under
bus_xfmr-000079,0.7302,under
bus_fuse-xfmr-000080,0.8795,under
bus_xfmr-000080,0.8792,under
bus_fuse-xfmr-000081,0.7138,under
bus_xfmr-000081,0.7098,under
bus_fuse-xfmr-000082,0.7143,under
bus_xfmr-000082,0.713,under
bus_fuse-xfmr-000083,0.8809,under
bus_xfmr-000083,0.8883,under
bus_fuse-xfmr-000084,0.9347,under
bus_xfmr-000084,0.9342,under
bus_fuse-xfmr-000085,0.7145,under
bus_xfmr-000085,0.7145,under
bus_fuse-xfmr-000086,0.8795,under
