bus_name,voltage_pu,violation
bus_fuse-xfmr-000001,0.8366,under
bus_xfmr-000001,0.8366,under
bus_fuse-xfmr-000002,0.8366,under
bus_xfmr-000002,0.8366,under
bus_fuse-xfmr-000003,0.8366,under
bus_xfmr-000003,0.8366,under
bus_fuse-xfmr-000004,0.9418,under
bus_xfmr-000004,0.9418,under
bus_fuse-xfmr-000005,0.9418,under
bus_xfmr-000005,0.9418,under
bus_fuse-xfmr-000006,0.9418,under
bus_xfmr-000006,0.9418,under
bus_fuse-xfmr-000007,0.9418,under
bus_xfmr-000007,0.9418,under
bus_fuse-xfmr-000008,0.8366,under
bus_xfmr-000008,0.8365,under
bus_fuse-xfmr-000010,0.9418,under
bus_xfmr-000010,0.9418,under
bus_fuse-xfmr-000011,0.8366,under
bus_xfmr-000011,0.8365,under
bus_fuse-xfmr-000012,0.8366,under
bus_xfmr-000012,0.8365,under
bus_fuse-xfmr-000013,0.9418,under
bus_xfmr-000013,0.9419,under
bus_fuse-xfmr-000014,0.942,under
bus_xfmr-000014,0.9429,under
bus_fuse-xfmr-000015,0.8367,under
bus_xfmr-000015,0.8369,under
bus_fuse-xfmr-000016,0.9418,under
bus_xfmr-000016,0.9418,under
bus_fuse-xfmr-000017,0.8367,under
bus_xfmr-000017,0.8369,under
bus_fuse-xfmr-000018,0.8367,under
bus_xfmr-000018,0.8367,under
bus_fuse-xfmr-000019,0.8366,under
bus_xfmr-000019,0.8366,under
bus_fuse-xfmr-000020,0.9418,under
bus_xfmr-000020,0.9419,under
bus_fuse-xfmr-000021,0.9418,under
bus_xfmr-000021,0.9418,under
bus_fuse-xfmr-000023,0.8366,under
bus_xfmr-000023,0.8364,under
bus_fuse-xfmr-000024,0.8366,under
bus_xfmr-000024,0.8365,under
bus_fuse-xfmr-000026,0.9418,under
bus_xfmr-000026,0.9416,under
bus_fuse-xfmr-000027,0.9418,under
bus_xfmr-000027,0.9419,under
bus_fuse-xfmr-000028,0.8366,under
bus_xfmr-000028,0.8364,under
bus_fuse-xfmr-000029,0.9418,under
bus_xfmr-000029,0.9415,under
bus_fuse-xfmr-000030,0.8366,under
bus_xfmr-000030,0.8366,under
bus_fuse-xfmr-000032,0.9418,under
bus_xfmr-000032,0.9416,under
bus_fuse-xfmr-000033,0.8365,under
bus_xfmr-000033,0.8356,under
bus_fuse-xfmr-000034,0.8366,under
bus_xfmr-000034,0.8362,under
bus_fuse-xfmr-000035,0.8366,under
bus_xfmr-000035,0.8366,under
bus_fuse-xfmr-000037,0.8367,under
bus_xfmr-000037,0.8367,under
bus_fuse-xfmr-000039,0.9418,under
bus_xfmr-000039,0.9417,under
bus_fuse-xfmr-000040,0.8365,under
bus_xfmr-000040,0.8358,under
bus_fuse-xfmr-000041,0.8366,under
bus_xfmr-000041,0.8366,under
bus_fuse-xfmr-000042,0.8365,under
bus_xfmr-000042,0.836,under
bus_fuse-xfmr-000043,0.9418,under
bus_xfmr-000043,0.9415,under
bus_fuse-xfmr-000044,0.8366,under
bus_xfmr-000044,0.8364,under
bus_fuse-xfmr-000045,0.9418,under
bus_xfmr-000045,0.9419,under
bus_fuse-xfmr-000048,0.8134,under
bus_xfmr-000048,0.8134,under
bus_fuse-xfmr-000049,0.8134,under
bus_xfmr-000049,0.8134,under
bus_fuse-xfmr-000051,0.9304,under
bus_xfmr-000051,0.9304,under
bus_fuse-xfmr-000052,0.9304,under
bus_xfmr-000052,0.9304,under
bus_fuse-xfmr-000053,0.9304,under
bus_xfmr-000053,0.9305,under
bus_fuse-xfmr-000054,0.9304,under
bus_xfmr-000054,0.9304,under
bus_fuse-xfmr-000055,0.9304,under
bus_xfmr-000055,0.9304,under
bus_fuse-xfmr-000057,0.9304,under
bus_xfmr-000057,0.9305,under
bus_fuse-xfmr-000058,0.9304,under
bus_xfmr-000058,0.9304,under
bus_fuse-xfmr-000059,0.8134,under
bus_xfmr-000059,0.8134,under
bus_fuse-xfmr-000060,0.8134,under
bus_xfmr-000060,0.8134,under
bus_fuse-xfmr-000061,0.8134,under
bus_xfmr-000061,0.8133,under
bus_fuse-xfmr-000064,0.9304,under
bus_xfmr-000064,0.9304,under
bus_fuse-xfmr-000065,0.8134,under
bus_xfmr-000065,0.8135,under
bus_fuse-xfmr-000066,0.8134,under
bus_xfmr-000066,0.8132,under
bus_fuse-xfmr-000067,0.8134,under
bus_xfmr-000067,0.8135,under
bus_fuse-xfmr-000068,0.9304,under
bus_xfmr-000068,0.9304,under
bus_fuse-xfmr-000069,0.8134,under
bus_xfmr-000069,0.8133,under
bus_fuse-xfmr-000070,0.8134,under
bus_xfmr-000070,0.8134,under
bus_fuse-xfmr-000072,0.8134,under
bus_xfmr-000072,0.8134,under
bus_fuse-xfmr-000073,0.9304,under
bus_xfmr-000073,0.9304,under
bus_fuse-xfmr-000074,0.9304,under
bus_xfmr-000074,0.9301,under
bus_fuse-xfmr-000076,0.9304,under
bus_xfmr-000076,0.9303,under
bus_fuse-xfmr-000077,0.8134,under
bus_xfmr-000077,0.813,under
bus_fuse-xfmr-000078,0.8134,under
bus_xfmr-000078,0.8134,under
bus_fuse-xfmr-000079,0.8158,under
bus_xfmr-000079,0.8295,under
bus_fuse-xfmr-000080,0.9304,under
bus_xfmr-000080,0.9299,under
bus_fuse-xfmr-000081,0.8131,under
bus_xfmr-000081,0.811,under
bus_fuse-xfmr-000082,0.8133,under
bus_xfmr-000082,0.8127,under
bus_fuse-xfmr-000083,0.9314,under
bus_xfmr-000083,0.9367,under
bus_fuse-xfmr-000085,0.8134,under
bus_xfmr-000085,0.8134,under
bus_fuse-xfmr-000086,0.9304,under
bus_xfmr-000086,0.9302,under
bus_fuse-xfmr-000087,0.9304,under
bus_xfmr-000087,0.9298,under
bus_fuse-xfmr-000088,0.8134,under
bus_xfmr-000088,0.8133,under
bus_fuse-xfmr-000089,0.9306,under
bus_xfmr-000089,0.9312,under
bus_fuse-xfmr-000091,0.9202,under
bus_xfmr-000091,0.9202,under
bus_fuse-xfmr-000093,0.9202,under
bus_xfmr-000093,0.9202,under
bus_fuse-xfmr-000094,0.7925,under
bus_xfmr-000094,0.7924,under
bus_fuse-xfmr-000095,0.9203,under
bus_xfmr-000095,0.9203,under
bus_fuse-xfmr-000096,0.7925,under
bus_xfmr-000096,0.7927,under
bus_fuse-xfmr-000098,0.7924,under
bus_xfmr-000098,0.7923,under
bus_fuse-xfmr-000100,0.7924,under
bus_xfmr-000100,0.7923,under
bus_fuse-xfmr-000101,0.7924,under
bus_xfmr-000101,0.7922,under
bus_fuse-xfmr-000102,0.7924,under
bus_xfmr-000102,0.7924,under
bus_fuse-xfmr-000103,0.9202,under
bus_xfmr-000103,0.9202,under
bus_fuse-xfmr-000105,0.7925,under
bus_xfmr-000105,0.7924,under
bus_fuse-xfmr-000106,0.7925,under
bus_xfmr-000106,0.7925,under
bus_fuse-xfmr-000107,0.9202,under
bus_xfmr-000107,0.9202,under
bus_fuse-xfmr-000110,0.7925,under
bus_xfmr-000110,0.7924,under
bus_fuse-xfmr-000111,0.9203,under
bus_xfmr-000111,0.9204,under
bus_fuse-xfmr-000112,0.7923,under
bus_xfmr-000112,0.7915,under
bus_fuse-xfmr-000113,0.9202,under
bus_xfmr-000113,0.9202,under
bus_fuse-xfmr-000114,0.7924,under
bus_xfmr-000114,0.7922,under
bus_fuse-xfmr-000115,0.7925,under
bus_xfmr-000115,0.7927,under
bus_fuse-xfmr-000116,0.9203,under
bus_xfmr-000116,0.9203,under
bus_fuse-xfmr-000117,0.7924,under
bus_xfmr-000117,0.7924,under
bus_fuse-xfmr-000118,0.9202,under
bus_xfmr-000118,0.9202,under
bus_fuse-xfmr-000119,0.9202,under
bus_xfmr-000119,0.92,under
bus_fuse-xfmr-000121,0.7924,under
bus_xfmr-000121,0.7924,under
bus_fuse-xfmr-000122,0.7923,under
bus_xfmr-000122,0.7918,under
bus_fuse-xfmr-000123,0.7924,under
bus_xfmr-000123,0.7918,under
bus_fuse-xfmr-000124,0.9202,under
bus_xfmr-000124,0.9202,under
bus_fuse-xfmr-000125,0.9202,under
bus_xfmr-000125,0.9202,under
bus_fuse-xfmr-000126,0.7924,under
