bus_name,voltage_pu,violation
bus_sub-001,0.9276,under
bus_fdr-0001-head,0.9272,under
bus_jct-fdr-0001-001,0.9268,under
bus_fuse-xfmr-000001,0.6969,under
bus_xfmr-000001,0.6968,under
bus_fuse-xfmr-000002,0.6969,under
bus_xfmr-000002,0.6969,under
bus_fuse-xfmr-000003,0.6969,under
bus_xfmr-000003,0.6969,under
bus_fuse-xfmr-000004,0.8715,under
bus_xfmr-000004,0.8715,under
bus_fuse-xfmr-000005,0.8715,under
bus_xfmr-000005,0.8716,under
bus_fuse-xfmr-000006,0.8715,under
bus_xfmr-000006,0.8715,under
bus_fuse-xfmr-000007,0.8715,under
bus_xfmr-000007,0.8714,under
bus_fuse-xfmr-000008,0.6969,under
bus_xfmr-000008,0.6968,under
bus_fuse-xfmr-000009,0.9268,under
bus_xfmr-000009,0.9268,under
bus_fuse-xfmr-000010,0.8715,under
bus_xfmr-000010,0.8715,under
bus_fuse-xfmr-000011,0.6969,under
bus_xfmr-000011,0.6968,under
bus_fuse-xfmr-000012,0.6969,under
bus_xfmr-000012,0.697,under
bus_fuse-xfmr-000013,0.8715,under
bus_xfmr-000013,0.8716,under
bus_fuse-xfmr-000014,0.8718,under
bus_xfmr-000014,0.8734,under
bus_fuse-xfmr-000015,0.6969,under
bus_xfmr-000015,0.6969,under
bus_fuse-xfmr-000016,0.8715,under
bus_xfmr-000016,0.8715,under
bus_fuse-xfmr-000017,0.6971,under
bus_xfmr-000017,0.6986,under
bus_fuse-xfmr-000018,0.6969,under
bus_xfmr-000018,0.6968,under
bus_fuse-xfmr-000019,0.6969,under
bus_xfmr-000019,0.6968,under
bus_fuse-xfmr-000020,0.8716,under
bus_xfmr-000020,0.8716,under
bus_fuse-xfmr-000021,0.8715,under
bus_xfmr-000021,0.8714,under
bus_fuse-xfmr-000022,0.9268,under
bus_xfmr-000022,0.9267,under
bus_fuse-xfmr-000023,0.6968,under
bus_xfmr-000023,0.6967,under
bus_fuse-xfmr-000024,0.6969,under
bus_xfmr-000024,0.6968,under
bus_fuse-xfmr-000025,0.9268,under
bus_xfmr-000025,0.9269,under
bus_fuse-xfmr-000026,0.8715,under
bus_xfmr-000026,0.8714,under
bus_fuse-xfmr-000027,0.8716,under
bus_xfmr-000027,0.8719,under
bus_fuse-xfmr-000028,0.6968,under
bus_xfmr-000028,0.6967,under
bus_fuse-xfmr-000029,0.8715,under
bus_xfmr-000029,0.8712,under
bus_fuse-xfmr-000030,0.6969,under
bus_xfmr-000030,0.6969,under
