outage_id,dispatch_time,arrival_time,crew_id,vehicle_id
OUT-00001,2019-07-30 08:08:00.000000000,2019-07-30 08:51:00.000000000,CREW-15,VEH-043
OUT-00002,2019-08-07 11:09:00.000000000,2019-08-07 11:44:00.000000000,CREW-07,VEH-019
OUT-00003,2019-08-19 16:08:00.000000000,2019-08-19 16:33:00.000000000,CREW-11,VEH-024
OUT-00004,2019-09-08 14:06:00.000000000,2019-09-08 14:56:00.000000000,CREW-08,VEH-024
OUT-00005,2019-09-08 18:04:00.000000000,2019-09-08 18:40:00.000000000,CREW-02,VEH-024
OUT-00006,2019-10-08 20:13:00.000000000,2019-10-08 20:57:00.000000000,CREW-06,VEH-002
OUT-00007,2019-10-19 18:13:00.000000000,2019-10-19 18:48:00.000000000,CREW-01,VEH-012
OUT-00008,2019-10-19 21:11:00.000000000,2019-10-19 21:47:00.000000000,CREW-12,VEH-025
OUT-00009,2019-10-19 22:02:00.000000000,2019-10-19 22:43:00.000000000,CREW-10,VEH-028
OUT-00010,2019-10-29 19:13:00.000000000,2019-10-29 19:43:00.000000000,CREW-15,VEH-047
OUT-00011,2019-10-29 20:15:00.000000000,2019-10-29 21:13:00.000000000,CREW-20,VEH-003
OUT-00012,2019-10-30 00:06:00.000000000,2019-10-30 00:27:00.000000000,CREW-09,VEH-039
OUT-00013,2019-11-03 14:03:00.000000000,2019-11-03 14:21:00.000000000,CREW-14,VEH-050
OUT-00014,2019-11-08 21:11:00.000000000,2019-11-08 21:34:00.000000000,CREW-02,VEH-020
OUT-00015,2019-11-18 07:13:00.000000000,2019-11-18 07:34:00.000000000,CREW-12,VEH-008
OUT-00016,2019-11-20 02:04:00.000000000,2019-11-20 02:32:00.000000000,CREW-17,VEH-036
OUT-00017,2019-11-22 22:03:00.000000000,2019-11-22 22:57:00.000000000,CREW-04,VEH-002
OUT-00018,2019-11-30 08:15:00.000000000,2019-11-30 08:35:00.000000000,CREW-10,VEH-004
OUT-00019,2019-12-09 13:07:00.000000000,2019-12-09 13:50:00.000000000,CREW-18,VEH-026
OUT-00020,2019-12-12 05:13:00.000000000,2019-12-12 06:01:00.000000000,CREW-10,VEH-036
OUT-00021,2019-12-13 03:15:00.000000000,2019-12-13 04:00:00.000000000,CREW-16,VEH-015
OUT-00022,2019-12-17 08:09:00.000000000,2019-12-17 08:37:00.000000000,CREW-08,VEH-021
OUT-00023,2019-12-19 08:14:00.000000000,2019-12-19 08:46:00.000000000,CREW-15,VEH-024
OUT-00024,2019-12-19 15:11:00.000000000,2019-12-19 15:50:00.000000000,CREW-13,VEH-041
OUT-00025,2019-12-19 16:14:00.000000000,2019-12-19 16:43:00.000000000,CREW-13,VEH-001
OUT-00026,2019-12-25 00:10:00.000000000,2019-12-25 00:31:00.000000000,CREW-09,VEH-024
OUT-00027,2019-12-28 04:02:00.000000000,2019-12-28 05:00:00.000000000,CREW-08,VEH-024
OUT-00028,2020-01-02 21:12:00.000000000,2020-01-02 21:43:00.000000000,CREW-08,VEH-035
OUT-00029,2020-01-04 05:04:00.000000000,2020-01-04 05:51:00.000000000,CREW-05,VEH-042
OUT-00030,2020-01-05 16:08:00.000000000,2020-01-05 17:03:00.000000000,CREW-07,VEH-009
OUT-00031,2020-01-08 13:09:00.000000000,2020-01-08 13:35:00.000000000,CREW-02,VEH-033
OUT-00032,2020-01-12 17:08:00.000000000,2020-01-12 17:45:00.000000000,CREW-05,VEH-035
OUT-00033,2020-01-13 07:13:00.000000000,2020-01-13 08:07:00.000000000,CREW-03,VEH-001
OUT-00034,2020-01-14 17:04:00.000000000,2020-01-14 17:55:00.000000000,CREW-15,VEH-014
OUT-00035,2020-01-14 18:04:00.000000000,2020-01-14 18:19:00.000000000,CREW-05,VEH-026
OUT-00036,2020-01-19 15:08:00.000000000,2020-01-19 15:36:00.000000000,CREW-07,VEH-027
OUT-00037,2020-01-27 15:10:00.000000000,2020-01-27 15:39:00.000000000,CREW-15,VEH-026
OUT-00038,2020-01-28 04:11:00.000000000,2020-01-28 04:38:00.000000000,CREW-19,VEH-032
OUT-00039,2020-01-29 05:08:00.000000000,2020-01-29 05:54:00.000000000,CREW-04,VEH-030
OUT-00040,2020-02-02 15:06:00.000000000,2020-02-02 15:43:00.000000000,CREW-07,VEH-045
OUT-00041,2020-02-02 18:12:00.000000000,2020-02-02 18:55:00.000000000,CREW-04,VEH-013
OUT-00042,2020-02-03 16:08:00.000000000,2020-02-03 16:44:00.000000000,CREW-02,VEH-042
OUT-00043,2020-02-04 16:14:00.000000000,2020-02-04 16:34:00.000000000,CREW-12,VEH-044
OUT-00044,2020-02-06 15:05:00.000000000,2020-02-06 15:49:00.000000000,CREW-11,VEH-028
OUT-00045,2020-02-07 16:10:00.000000000,2020-02-07 17:03:00.000000000,CREW-01,VEH-001
OUT-00046,2020-02-07 16:10:00.000000000,2020-02-07 16:51:00.000000000,CREW-20,VEH-013
OUT-00047,2020-02-07 18:10:00.000000000,2020-02-07 18:27:00.000000000,CREW-07,VEH-006
OUT-00048,2020-02-07 18:09:00.000000000,2020-02-07 18:50:00.000000000,CREW-09,VEH-037
OUT-00049,2020-02-08 13:02:00.000000000,2020-02-08 13:58:00.000000000,CREW-12,VEH-024
OUT-00050,2020-02-09 13:12:00.000000000,2020-02-09 13:58:00.000000000,CREW-09,VEH-049
OUT-00051,2020-02-10 12:15:00.000000000,2020-02-10 12:41:00.000000000,CREW-07,VEH-002
OUT-00052,2020-02-11 13:04:00.000000000,2020-02-11 13:55:00.000000000,CREW-17,VEH-017
OUT-00053,2020-02-12 15:12:00.000000000,2020-02-12 15:28:00.000000000,CREW-02,VEH-028
OUT-00054,2020-02-14 20:07:00.000000000,2020-02-14 20:44:00.000000000,CREW-05,VEH-032
OUT-00055,2020-02-16 15:02:00.000000000,2020-02-16 15:17:00.000000000,CREW-19,VEH-002
OUT-00056,2020-02-16 17:06:00.000000000,2020-02-16 18:04:00.000000000,CREW-06,VEH-032
OUT-00057,2020-02-16 17:08:00.000000000,2020-02-16 17:26:00.000000000,CREW-11,VEH-017
OUT-00058,2020-02-22 16:07:00.000000000,2020-02-22 16:45:00.000000000,CREW-05,VEH-034
OUT-00059,2020-02-22 22:07:00.000000000,2020-02-22 22:43:00.000000000,CREW-11,VEH-048
OUT-00060,2020-02-25 15:02:00.000000000,2020-02-25 15:25:00.000000000,CREW-06,VEH-016
OUT-00061,2020-02-25 16:14:00.000000000,2020-02-25 16:31:00.000000000,CREW-20,VEH-036
OUT-00062,2020-02-25 16:04:00.000000000,2020-02-25 16:44:00.000000000,CREW-03,VEH-019
OUT-00063,2020-02-26 16:08:44.724071308,2020-02-26 16:20:57.042858384,CREW-07,VEH-041
OUT-00064,2020-02-28 04:02:00.000000000,2020-02-28 04:56:00.000000000,CREW-07,VEH-018
OUT-00065,2020-02-29 00:09:00.000000000,2020-02-29 00:24:00.000000000,CREW-11,VEH-028
OUT-00066,2020-03-01 16:10:00.000000000,2020-03-01 16:49:00.000000000,CREW-18,VEH-023
OUT-00067,2020-03-01 18:15:00.000000000,2020-03-01 19:11:00.000000000,CREW-03,VEH-007
OUT-00068,2020-03-02 15:13:00.000000000,2020-03-02 15:43:00.000000000,CREW-16,VEH-049
OUT-00069,2020-03-02 17:03:00.000000000,2020-03-02 17:18:00.000000000,CREW-16,VEH-012
OUT-00070,2020-03-02 21:06:00.000000000,2020-03-02 21:57:00.000000000,CREW-09,VEH-041
OUT-00071,2020-03-03 17:04:00.000000000,2020-03-03 17:37:00.000000000,CREW-16,VEH-016
OUT-00072,2020-03-03 20:04:00.000000000,2020-03-03 20:38:00.000000000,CREW-01,VEH-024
OUT-00073,2020-03-05 07:05:00.000000000,2020-03-05 07:30:00.000000000,CREW-17,VEH-008
OUT-00074,2020-03-05 14:05:00.000000000,2020-03-05 14:57:00.000000000,CREW-08,VEH-020
OUT-00075,2020-03-07 16:15:00.000000000,2020-03-07 17:04:00.000000000,CREW-16,VEH-025
OUT-00076,2020-03-07 16:04:00.000000000,2020-03-07 16:43:00.000000000,CREW-18,VEH-046
OUT-00077,2020-03-08 17:03:00.000000000,2020-03-08 17:19:00.000000000,CREW-03,VEH-016
