fault_detected,service_restored,cause_code,affected_customers,feeder_id,transformer_id
2015-08-26 10:00:00,2015-08-26 11:09:00,equipment_failure,152,FDR-0020,overhead line
2015-12-30 23:00:00,2015-12-31 03:09:00,equipment_failure,62,FDR-0018,transformer
2016-01-14 03:00:00,2016-01-14 03:40:00,equipment_failure,341,FDR-0029,cable
2016-02-01 20:00:00,2016-02-02 03:36:00,animal_contact,1025,FDR-0049,recloser
2016-02-21 03:00:00,2016-02-21 06:11:00,equipment_failure,201,FDR-0047,recloser
2016-02-22 04:00:00,2016-02-22 07:33:00,equipment_failure,397,FDR-0006,cable
2016-03-08 14:00:00,2016-03-08 15:56:00,equipment_failure,817,FDR-0009,switch
2016-03-28 15:00:00,2016-03-28 21:42:00,equipment_failure,359,FDR-0020,cable
2016-04-02 15:00:00,2016-04-02 17:49:00,overload,814,FDR-0004,cable
2016-05-08 07:00:00,2016-05-08 08:23:00,animal_contact,235,FDR-0043,fuse
2016-05-19 14:00:00,2016-05-20 06:54:00,weather,72,FDR-0047,transformer
2016-07-02 13:00:00,2016-07-02 20:02:00,equipment_failure,993,FDR-0036,cable
2016-07-21 20:00:00,2016-07-21 23:06:00,animal_contact,409,FDR-0059,cable
2016-07-23 18:00:00,2016-07-23 21:57:00,overload,43,FDR-0001,recloser
2016-07-24 09:00:00,2016-07-24 14:52:00,equipment_failure,466,FDR-0047,overhead line
2016-07-26 13:00:00,2016-07-26 18:25:00,equipment_failure,89,FDR-0003,recloser
2016-08-14 03:00:00,2016-08-14 03:40:00,equipment_failure,443,FDR-0041,cable
2016-08-19 18:00:00,2016-08-20 08:43:00,weather,797,FDR-0045,fuse
2016-09-11 03:00:00,2016-09-11 04:16:00,animal_contact,227,FDR-0039,transformer
2016-09-21 14:00:00,2016-09-21 19:58:00,equipment_failure,951,FDR-0040,recloser
2016-09-27 14:00:00,2016-09-27 18:04:00,equipment_failure,228,FDR-0054,recloser
2016-09-28 03:00:00,2016-09-28 08:39:00,equipment_failure,499,FDR-0050,switch
2016-09-29 15:00:00,2016-09-29 16:01:00,overload,58,FDR-0060,switch
2016-09-29 15:00:00,2016-09-29 16:01:00,overload,46,FDR-0060,switch
2016-11-12 18:00:00,2016-11-12 21:19:00,overload,1614,FDR-0025,recloser
2016-11-22 16:00:00,2016-11-22 19:27:00,equipment_failure,1382,FDR-0057,cable
2016-12-09 20:00:00,2016-12-10 08:22:00,vegetation,312,FDR-0014,fuse
2016-12-12 18:00:00,2016-12-12 21:19:00,overload,1706,FDR-0025,recloser
2016-12-14 17:00:00,2016-12-14 19:04:00,equipment_failure,226,FDR-0016,fuse
2016-12-21 03:00:00,2016-12-21 03:40:00,animal_contact,224,FDR-0037,recloser
2017-01-06 08:00:00,2017-01-06 12:33:00,equipment_failure,337,FDR-0052,cable
2017-01-10 13:00:00,2017-01-10 13:43:00,equipment_failure,233,FDR-0036,recloser
2017-01-11 19:00:00,2017-01-11 22:59:00,equipment_failure,392,FDR-0032,recloser
2017-01-12 15:00:00,2017-01-12 16:07:00,overload,139,FDR-0051,overhead line
2017-01-14 13:00:00,2017-01-14 19:10:00,equipment_failure,399,FDR-0018,overhead line
2017-01-17 20:00:00,2017-01-18 03:48:00,weather,1082,FDR-0016,overhead line
2017-01-25 16:00:00,2017-01-26 03:18:00,animal_contact,578,FDR-0052,fuse
2017-01-26 02:00:00,2017-01-26 03:56:00,equipment_failure,420,FDR-0002,recloser
2017-01-30 01:00:00,2017-01-30 06:45:00,equipment_failure,347,FDR-0055,transformer
2017-01-30 17:00:00,2017-01-30 18:34:00,overload,1022,FDR-0014,transformer
2017-01-30 18:00:00,2017-01-30 22:24:00,animal_contact,107,FDR-0026,fuse
2017-02-10 16:00:00,2017-02-10 16:55:00,equipment_failure,139,FDR-0046,overhead line
2017-02-10 18:00:00,2017-02-10 23:30:00,overload,964,FDR-0050,cable
2017-02-14 18:00:00,2017-02-15 00:07:00,overload,256,FDR-0002,transformer
2017-02-17 21:00:00,2017-02-18 00:37:00,equipment_failure,378,FDR-0063,recloser
2017-02-23 15:00:00,2017-02-23 16:02:00,weather,1366,FDR-0053,transformer
2017-03-11 15:00:00,2017-03-11 21:31:00,equipment_failure,376,FDR-0014,cable
2017-03-13 18:00:00,2017-03-14 10:48:00,weather,2034,FDR-0021,overhead line
2017-03-22 16:00:00,2017-03-22 22:01:00,overload,1706,FDR-0005,fuse
2017-04-02 15:00:00,2017-04-02 17:55:00,equipment_failure,53,FDR-0062,cable
2017-04-04 16:00:00,2017-04-04 17:57:00,overload,722,FDR-0020,cable
2017-04-06 16:00:00,2017-04-06 19:21:00,equipment_failure,422,FDR-0004,overhead line
2017-04-09 18:00:00,2017-04-10 10:55:00,weather,1947,FDR-0047,overhead line
2017-04-10 18:00:00,2017-04-11 05:00:00,weather,1938,FDR-0051,cable
2017-04-12 18:00:00,2017-04-12 21:19:00,overload,1540,FDR-0025,recloser
2017-04-16 17:00:00,2017-04-16 20:37:00,equipment_failure,176,FDR-0056,recloser
2017-04-19 01:00:00,2017-04-19 04:52:00,equipment_failure,325,FDR-0033,cable
2017-04-21 17:00:00,2017-04-21 19:07:00,animal_contact,429,FDR-0055,fuse
2017-04-23 23:00:00,2017-04-24 01:54:00,animal_contact,78,FDR-0041,transformer
2017-04-25 13:00:00,2017-04-25 15:17:00,overload,151,FDR-0013,transformer
2017-04-29 17:00:00,2017-04-29 18:39:00,equipment_failure,435,FDR-0030,transformer
2017-05-03 19:00:00,2017-05-03 22:49:00,equipment_failure,375,FDR-0046,recloser
2017-05-06 20:00:00,2017-05-06 20:46:00,equipment_failure,329,FDR-0026,fuse
2017-05-09 13:00:00,2017-05-09 14:18:00,equipment_failure,1054,FDR-0063,recloser
2017-05-13 19:00:00,2017-05-14 12:19:00,weather,1846,FDR-0003,switch
2017-05-14 01:00:00,2017-05-14 06:00:00,equipment_failure,67,FDR-0017,transformer
2017-05-17 12:00:00,2017-05-17 14:47:00,equipment_failure,205,FDR-0062,transformer
2017-06-04 00:00:00,2017-06-04 03:40:00,equipment_failure,209,FDR-0006,fuse
2017-06-08 14:00:00,2017-06-08 16:35:00,equipment_failure,576,FDR-0063,cable
2017-06-09 16:00:00,2017-06-09 17:27:00,equipment_failure,306,FDR-0014,transformer
2017-06-11 15:00:00,2017-06-11 20:27:00,equipment_failure,747,FDR-0012,overhead line
2017-06-14 04:00:00,2017-06-14 08:57:00,equipment_failure,4,FDR-0009,switch
2017-06-18 18:00:00,2017-06-18 22:20:00,animal_contact,418,FDR-0014,transformer
2017-06-19 18:00:00,2017-06-20 00:10:00,weather,1719,FDR-0065,switch
2017-06-23 17:00:00,2017-06-23 22:55:00,equipment_failure,1049,FDR-0003,cable
2017-07-03 02:00:00,2017-07-03 06:45:00,equipment_failure,264,FDR-0060,switch
2017-07-03 16:00:00,2017-07-03 19:42:00,equipment_failure,60,FDR-0043,overhead line
2017-07-09 14:00:00,2017-07-10 02:12:00,weather,412,FDR-0023,cable
2017-07-11 06:00:00,2017-07-11 08:55:00,equipment_failure,139,FDR-0060,fuse
2017-07-17 17:00:00,2017-07-17 23:06:00,equipment_failure,1667,FDR-0008,transformer
2017-07-18 15:00:00,2017-07-18 21:29:00,vegetation,978,FDR-0052,recloser
2017-07-18 18:00:00,2017-07-18 22:20:00,animal_contact,596,FDR-0060,transformer
2017-08-05 20:00:00,2017-08-06 03:22:00,vegetation,2220,FDR-0046,recloser
2017-08-13 15:00:00,2017-08-14 04:51:00,vegetation,298,FDR-0001,overhead line
2017-08-24 16:00:00,2017-08-25 05:25:00,animal_contact,157,FDR-0025,overhead line
2017-09-13 19:00:00,2017-09-14 12:19:00,weather,1498,FDR-0003,switch
2017-09-22 10:00:00,2017-09-22 13:08:00,equipment_failure,301,FDR-0023,switch
2017-09-24 18:00:00,2017-09-25 01:13:00,equipment_failure,935,FDR-0050,fuse
2017-09-28 21:00:00,2017-09-29 00:36:00,animal_contact,265,FDR-0016,switch
2017-10-17 20:00:00,2017-10-18 03:48:00,weather,1167,FDR-0016,overhead line
2017-10-20 17:00:00,2017-10-20 21:24:00,equipment_failure,536,FDR-0062,transformer
2017-10-28 18:00:00,2017-10-28 21:16:00,overload,1225,FDR-0059,overhead line
2017-10-29 16:00:00,2017-10-29 18:05:00,equipment_failure,945,FDR-0021,recloser
2017-10-30 16:00:00,2017-10-30 18:05:00,equipment_failure,829,FDR-0021,fuse
2017-11-02 15:00:00,2017-11-02 17:55:00,equipment_failure,58,FDR-0007,cable
2017-11-06 10:00:00,2017-11-06 12:21:00,equipment_failure,46,FDR-0047,transformer
2017-11-07 22:00:00,2017-11-08 01:28:00,animal_contact,465,FDR-0051,switch
2017-11-08 15:00:00,2017-11-08 15:58:00,equipment_failure,418,FDR-0052,fuse
2017-11-21 06:00:00,2017-11-21 10:17:00,equipment_failure,260,FDR-0030,overhead line
2017-11-27 23:00:00,2017-11-28 00:48:00,equipment_failure,153,FDR-0015,fuse
2017-12-16 05:00:00,2017-12-16 06:38:00,animal_contact,54,FDR-0050,fuse
2017-12-18 14:00:00,2017-12-18 20:54:00,equipment_failure,953,FDR-0009,overhead line
2017-12-18 18:00:00,2017-12-18 23:33:00,equipment_failure,219,FDR-0027,switch
2018-01-01 14:00:00,2018-01-02 06:48:00,weather,1362,FDR-0059,transformer
2018-01-10 16:00:00,2018-01-10 19:47:00,equipment_failure,1045,FDR-0029,cable
2018-01-14 06:00:00,2018-01-14 08:28:00,equipment_failure,108,FDR-0064,transformer
2018-01-26 03:00:00,2018-01-26 05:37:00,equipment_failure,218,FDR-0057,fuse
2018-01-30 17:00:00,2018-01-30 17:32:00,overload,1038,FDR-0012,fuse
2018-02-04 14:00:00,2018-02-05 03:30:00,weather,1547,FDR-0035,fuse
2018-02-08 07:00:00,2018-02-08 10:59:00,equipment_failure,79,FDR-0025,transformer
2018-02-16 15:00:00,2018-02-16 18:34:00,overload,1347,FDR-0054,overhead line
2018-02-18 13:00:00,2018-02-18 16:51:00,equipment_failure,666,FDR-0020,fuse
2018-02-27 11:00:00,2018-02-27 11:20:00,equipment_failure,388,FDR-0038,fuse
2018-02-28 16:00:00,2018-02-28 18:05:00,equipment_failure,1226,FDR-0021,recloser
2018-03-08 14:00:00,2018-03-08 18:49:00,vegetation,687,FDR-0026,fuse
2018-03-09 20:00:00,2018-03-10 08:22:00,vegetation,289,FDR-0021,fuse
2018-03-19 12:00:00,2018-03-19 14:49:00,equipment_failure,275,FDR-0041,overhead line
2018-03-19 16:00:00,2018-03-19 18:00:00,weather,1385,FDR-0018,cable
2018-03-19 20:00:00,2018-03-19 20:22:00,animal_contact,479,FDR-0028,cable
2018-03-21 18:00:00,2018-03-21 21:24:00,overload,220,FDR-0007,transformer
2018-03-26 18:00:00,2018-03-27 05:00:00,vegetation,625,FDR-0045,transformer
2018-04-01 02:00:00,2018-04-01 04:15:00,equipment_failure,158,FDR-0040,fuse
2018-04-01 14:00:00,2018-04-02 03:25:00,vegetation,875,FDR-0063,transformer
2018-04-02 17:00:00,2018-04-02 23:28:00,overload,839,FDR-0054,cable
2018-04-02 20:00:00,2018-04-03 00:24:00,equipment_failure,52,FDR-0058,fuse
2018-04-03 14:00:00,2018-04-03 20:39:00,equipment_failure,508,FDR-0038,fuse
2018-04-10 09:00:00,2018-04-10 14:21:00,equipment_failure,56,FDR-0025,switch
2018-04-13 17:00:00,2018-04-14 04:39:00,weather,960,FDR-0020,switch
2018-04-19 20:00:00,2018-04-19 20:22:00,animal_contact,383,FDR-0028,cable
2018-04-20 09:00:00,2018-04-20 13:31:00,animal_contact,240,FDR-0012,recloser
2018-04-26 10:00:00,2018-04-26 11:09:00,equipment_failure,130,FDR-0020,overhead line
2018-05-07 22:00:00,2018-05-08 01:28:00,animal_contact,465,FDR-0051,switch
2018-05-17 18:00:00,2018-05-17 19:08:00,animal_contact,3354,FDR-0042,fuse
2018-05-19 14:00:00,2018-05-20 06:54:00,weather,73,FDR-0014,transformer
2018-05-22 14:00:00,2018-05-22 17:22:00,equipment_failure,975,FDR-0003,overhead line
2018-05-22 14:00:00,2018-05-22 18:32:00,equipment_failure,376,FDR-0026,fuse
2018-05-25 19:00:00,2018-05-25 20:13:00,animal_contact,222,FDR-0009,overhead line
2018-05-29 14:00:00,2018-05-29 19:06:00,equipment_failure,317,FDR-0007,transformer
2018-05-30 15:00:00,2018-05-30 21:07:00,equipment_failure,131,FDR-0047,cable
2018-06-07 18:00:00,2018-06-08 08:45:00,animal_contact,179,FDR-0060,transformer
2018-06-10 18:00:00,2018-06-10 23:30:00,overload,1079,FDR-0050,cable
2018-06-16 20:00:00,2018-06-16 21:50:00,equipment_failure,526,FDR-0039,fuse
2018-06-19 22:00:00,2018-06-20 03:48:00,equipment_failure,85,FDR-0041,transformer
2018-06-28 02:00:00,2018-06-28 07:39:00,equipment_failure,50,FDR-0001,transformer
2018-06-30 18:00:00,2018-06-30 22:24:00,animal_contact,95,FDR-0026,fuse
2018-07-08 16:00:00,2018-07-08 19:12:00,weather,336,FDR-0007,cable
2018-07-11 03:00:00,2018-07-11 04:16:00,animal_contact,161,FDR-0039,transformer
2018-07-26 19:00:00,2018-07-27 03:14:00,weather,2041,FDR-0003,recloser
2018-08-01 16:00:00,2018-08-01 22:54:00,overload,394,FDR-0038,fuse
2018-08-02 14:00:00,2018-08-02 16:06:00,equipment_failure,51,FDR-0061,transformer
2018-08-05 16:00:00,2018-08-05 20:15:00,equipment_failure,105,FDR-0002,fuse
2018-09-11 14:00:00,2018-09-11 16:16:00,overload,402,FDR-0006,switch
2018-09-13 17:00:00,2018-09-13 22:54:00,overload,1739,FDR-0018,overhead line
2018-09-22 13:00:00,2018-09-22 14:35:00,equipment_failure,1127,FDR-0041,transformer
2018-09-24 13:00:00,2018-09-24 17:20:00,overload,1161,FDR-0010,transformer
2018-09-25 18:00:00,2018-09-25 19:47:00,equipment_failure,1771,FDR-0025,transformer
2018-10-01 02:00:00,2018-10-01 04:15:00,equipment_failure,161,FDR-0040,fuse
2018-10-03 21:00:00,2018-10-04 00:13:00,equipment_failure,55,FDR-0048,transformer
2018-10-05 05:00:00,2018-10-05 06:57:00,animal_contact,193,FDR-0051,cable
2018-10-05 17:00:00,2018-10-05 18:27:00,equipment_failure,154,FDR-0006,overhead line
2018-10-08 12:00:00,2018-10-08 15:56:00,animal_contact,196,FDR-0011,cable
2018-10-08 15:00:00,2018-10-08 20:05:00,overload,1207,FDR-0020,cable
2018-10-09 16:00:00,2018-10-09 17:27:00,equipment_failure,242,FDR-0014,transformer
2018-10-12 15:00:00,2018-10-12 18:45:00,equipment_failure,139,FDR-0017,overhead line
2018-10-19 17:00:00,2018-10-19 21:36:00,equipment_failure,786,FDR-0045,cable
2018-10-23 16:00:00,2018-10-23 23:42:00,equipment_failure,157,FDR-0039,switch
2018-11-02 14:00:00,2018-11-02 15:29:00,equipment_failure,72,FDR-0035,switch
2018-11-04 17:00:00,2018-11-04 17:31:00,equipment_failure,170,FDR-0009,overhead line
2018-11-08 15:00:00,2018-11-08 18:10:00,animal_contact,372,FDR-0026,switch
2018-11-10 14:00:00,2018-11-10 20:50:00,overload,829,FDR-0057,fuse
2018-11-12 01:00:00,2018-11-12 01:53:00,equipment_failure,307,FDR-0059,overhead line
2018-11-15 15:00:00,2018-11-15 21:07:00,equipment_failure,286,FDR-0057,cable
2018-11-20 06:00:00,2018-11-20 07:43:00,equipment_failure,4,FDR-0010,cable
2018-11-27 17:00:00,2018-11-27 22:00:00,equipment_failure,1409,FDR-0037,fuse
2018-12-03 14:00:00,2018-12-04 07:44:00,vegetation,1096,FDR-0006,fuse
2018-12-08 16:00:00,2018-12-09 05:21:00,vegetation,2142,FDR-0005,recloser
2018-12-12 15:00:00,2018-12-12 22:43:00,equipment_failure,902,FDR-0027,switch
2018-12-18 18:00:00,2018-12-19 00:13:00,overload,1117,FDR-0061,recloser
2018-12-20 08:00:00,2018-12-20 09:39:00,equipment_failure,86,FDR-0004,transformer
2018-12-22 15:00:00,2018-12-22 16:10:00,overload,282,FDR-0051,recloser
2019-01-03 15:00:00,2019-01-03 16:06:00,equipment_failure,396,FDR-0010,overhead line
2019-01-12 23:00:00,2019-01-13 02:10:00,equipment_failure,555,FDR-0060,cable
2019-01-13 17:00:00,2019-01-14 04:39:00,weather,1033,FDR-0033,switch
2019-01-16 02:00:00,2019-01-16 04:21:00,animal_contact,334,FDR-0054,fuse
2019-01-16 14:00:00,2019-01-16 14:44:00,equipment_failure,183,FDR-0045,overhead line
2019-01-30 06:00:00,2019-01-30 10:27:00,equipment_failure,33,FDR-0038,cable
2019-01-30 18:00:00,2019-01-30 21:54:00,equipment_failure,277,FDR-0053,recloser
2019-02-04 16:00:00,2019-02-04 16:33:00,overload,1203,FDR-0027,fuse
2019-02-08 16:00:00,2019-02-08 18:02:00,equipment_failure,340,FDR-0017,cable
2019-02-12 17:00:00,2019-02-12 20:23:00,overload,142,FDR-0052,fuse
2019-02-13 19:00:00,2019-02-14 12:19:00,weather,1915,FDR-0062,switch
2019-02-17 16:00:00,2019-02-17 19:45:00,vegetation,239,FDR-0007,transformer
2019-02-22 17:00:00,2019-02-22 17:43:00,equipment_failure,415,FDR-0054,transformer
2019-02-25 16:00:00,2019-02-25 23:12:00,weather,2326,FDR-0056,cable
2019-02-28 15:00:00,2019-02-28 20:43:00,overload,326,FDR-0058,switch
2019-02-28 20:00:00,2019-03-01 02:21:00,weather,2040,FDR-0029,cable
2019-03-04 15:00:00,2019-03-04 20:15:00,equipment_failure,639,FDR-0028,overhead line
2019-03-07 19:00:00,2019-03-08 08:51:00,animal_contact,656,FDR-0015,cable
2019-03-10 21:00:00,2019-03-11 01:32:00,equipment_failure,86,FDR-0034,cable
2019-03-13 19:00:00,2019-03-13 23:38:00,vegetation,60,FDR-0038,cable
2019-03-19 14:00:00,2019-03-20 06:30:00,weather,2024,FDR-0008,fuse
2019-03-20 18:00:00,2019-03-21 00:55:00,equipment_failure,158,FDR-0021,transformer
2019-03-21 03:00:00,2019-03-21 06:11:00,equipment_failure,237,FDR-0047,recloser
2019-03-21 16:00:00,2019-03-21 23:07:00,equipment_failure,155,FDR-0008,switch
